Daily Observed Min/Max Temperature & Precipitation,,,,
,Seattle WA - KSEA,,,
Date,Min,Max,Avg,Precip
15-Mar-17,44,50,47,0.81
16-Mar-17,39,52,45.5,0.01
17-Mar-17,37,53,45,0.68
18-Mar-17,35,57,46,0.34
19-Mar-17,34,53,43.5,-
20-Mar-17,38,54,46,0.01
21-Mar-17,46,56,51,0.2
22-Mar-17,43,56,49.5,0.02
23-Mar-17,39,58,48.5,0.21
24-Mar-17,44,54,49,0.29
25-Mar-17,43,52,47.5,-
26-Mar-17,43,49,46,0.38
27-Mar-17,44,53,48.5,0.13
28-Mar-17,44,53,48.5,0.13
29-Mar-17,45,55,50,0.56
30-Mar-17,43,54,48.5,-
31-Mar-17,37,56,46.5,-
1-Apr-17,45,56,50.5,0.04
2-Apr-17,41,55,48,0.04
3-Apr-17,40,53,46.5,-
4-Apr-17,43,61,52,0.11
5-Apr-17,48,54,51,0.47
6-Apr-17,47,60,53.5,0.26
7-Apr-17,46,59,52.5,0.09
8-Apr-17,41,52,46.5,0.02
9-Apr-17,39,56,47.5,-
10-Apr-17,41,53,47,0.35
11-Apr-17,38,57,47.5,-
12-Apr-17,45,59,52,0.77
13-Apr-17,43,54,48.5,0.18
14-Apr-17,42,52,47,0.01
15-Apr-17,41,57,49,-
16-Apr-17,42,66,54,-
17-Apr-17,50,60,55,0.06
18-Apr-17,48,60,54,0.49
19-Apr-17,46,56,51,0.33
20-Apr-17,44,58,51,0.03
21-Apr-17,43,66,54.5,-
22-Apr-17,48,63,55.5,0.07
23-Apr-17,45,53,49,0.49
24-Apr-17,45,57,51,0.06
25-Apr-17,47,56,51.5,0.04
26-Apr-17,45,58,51.5,0.01
27-Apr-17,44,56,50,0.04
28-Apr-17,43,59,51,-
29-Apr-17,42,57,49.5,0.14
30-Apr-17,47,56,51.5,0.08
1-May-17,45,50,47.5,0.03
2-May-17,43,61,52,0.08
3-May-17,55,74,64.5,0.15
4-May-17,53,76,64.5,0.44
5-May-17,46,59,52.5,0.25
6-May-17,43,60,51.5,0.02
7-May-17,45,62,53.5,-
8-May-17,46,64,55,-
9-May-17,47,70,58.5,-
10-May-17,51,71,61,-
11-May-17,46,60,53,0.47
12-May-17,43,54,48.5,0.15
13-May-17,45,57,51,0.04
14-May-17,47,59,53,0.04
15-May-17,46,52,49,0.32
16-May-17,45,54,49.5,0.16
17-May-17,45,60,52.5,-
18-May-17,48,64,56,-
19-May-17,50,71,60.5,-
20-May-17,53,72,62.5,-
21-May-17,52,76,64,-
22-May-17,56,83,69.5,-
23-May-17,53,78,65.5,-
24-May-17,46,63,54.5,-
25-May-17,47,70,58.5,-
26-May-17,51,81,66,-
27-May-17,55,86,70.5,-
28-May-17,56,86,71,-
29-May-17,52,74,63,-
30-May-17,52,58,55,0.01
31-May-17,52,72,62,0.08
1-Jun-17,56,67,61.5,0.05
2-Jun-17,53,73,63,-
3-Jun-17,53,67,60,-
4-Jun-17,52,67,59.5,-
5-Jun-17,50,74,62,-
6-Jun-17,53,84,68.5,-
7-Jun-17,56,79,67.5,-
8-Jun-17,54,63,58.5,0.34
9-Jun-17,50,63,56.5,0.05
10-Jun-17,48,67,57.5,-
11-Jun-17,52,70,61,-
12-Jun-17,52,64,58,-
13-Jun-17,52,65,58.5,-
14-Jun-17,51,65,58,-
15-Jun-17,53,61,57,1.05
16-Jun-17,53,68,60.5,-
17-Jun-17,51,63,57,0.05
18-Jun-17,55,71,63,0.01
19-Jun-17,56,74,65,-
20-Jun-17,56,73,64.5,-
21-Jun-17,53,69,61,-
22-Jun-17,50,75,62.5,-
23-Jun-17,55,81,68,-
24-Jun-17,61,89,75,-
25-Jun-17,64,96,80,-
26-Jun-17,55,72,63.5,-
27-Jun-17,53,71,62,-
28-Jun-17,54,68,61,-
29-Jun-17,53,78,65.5,-
30-Jun-17,57,86,71.5,-
1-Jul-17,55,72,63.5,-
2-Jul-17,54,77,65.5,-
3-Jul-17,56,70,63,-
4-Jul-17,53,78,65.5,-
5-Jul-17,57,85,71,-
6-Jul-17,55,85,70,-
7-Jul-17,55,72,63.5,-
8-Jul-17,58,81,69.5,-
9-Jul-17,56,80,68,-
10-Jul-17,58,73,65.5,-
11-Jul-17,54,75,64.5,-
12-Jul-17,54,78,66,-
13-Jul-17,57,75,66,-
14-Jul-17,57,79,68,-
15-Jul-17,54,77,65.5,-
16-Jul-17,55,72,63.5,-
17-Jul-17,55,78,66.5,-
18-Jul-17,56,82,69,-
19-Jul-17,53,78,65.5,-
20-Jul-17,59,74,66.5,-
21-Jul-17,55,78,66.5,-
22-Jul-17,63,85,74,-
23-Jul-17,62,76,69,-
24-Jul-17,56,82,69,-
25-Jul-17,58,87,72.5,-
26-Jul-17,56,84,70,-
27-Jul-17,57,70,63.5,-
28-Jul-17,56,79,67.5,-
29-Jul-17,54,81,67.5,-
30-Jul-17,58,80,69,-
31-Jul-17,60,85,72.5,-
1-Aug-17,60,87,73.5,-
2-Aug-17,69,91,80,-
3-Aug-17,68,94,81,-
4-Aug-17,62,91,76.5,-
5-Aug-17,58,82,70,-
6-Aug-17,58,82,70,-
7-Aug-17,57,84,70.5,-
8-Aug-17,59,89,74,-
9-Aug-17,61,91,76,-
10-Aug-17,60,90,75,-
11-Aug-17,57,77,67,-
12-Aug-17,58,76,67,-
13-Aug-17,60,74,67,0.02
14-Aug-17,56,73,64.5,-
15-Aug-17,55,78,66.5,-
16-Aug-17,57,79,68,-
17-Aug-17,59,75,67,-
18-Aug-17,55,73,64,-
19-Aug-17,58,76,67,-
20-Aug-17,56,77,66.5,-
21-Aug-17,57,83,70,-
22-Aug-17,60,86,73,-
23-Aug-17,59,75,67,-
24-Aug-17,58,72,65,-
25-Aug-17,54,76,65,-
26-Aug-17,54,84,69,-
27-Aug-17,61,87,74,-
28-Aug-17,62,88,75,-
29-Aug-17,60,85,72.5,-
30-Aug-17,60,77,68.5,-
31-Aug-17,61,75,68,-
1-Sep-17,57,85,71,-
2-Sep-17,62,90,76,-
3-Sep-17,65,90,77.5,-
4-Sep-17,65,88,76.5,-
5-Sep-17,66,85,75.5,-
6-Sep-17,63,81,72,-
7-Sep-17,61,75,68,-
8-Sep-17,60,71,65.5,-
9-Sep-17,59,68,63.5,-
10-Sep-17,55,73,64,-
11-Sep-17,52,80,66,-
12-Sep-17,57,77,67,-
13-Sep-17,53,70,61.5,-
14-Sep-17,54,74,64,-
15-Sep-17,50,76,63,-
16-Sep-17,53,76,64.5,-
17-Sep-17,54,64,59,0.15
18-Sep-17,50,62,56,0.16
19-Sep-17,50,64,57,0.04
20-Sep-17,50,57,53.5,0.13
21-Sep-17,50,64,57,0.02
22-Sep-17,51,68,59.5,-
23-Sep-17,54,68,61,-
24-Sep-17,50,72,61,-
25-Sep-17,56,65,60.5,0.01
26-Sep-17,55,74,64.5,-
27-Sep-17,54,80,67,-
28-Sep-17,55,86,70.5,-
29-Sep-17,54,67,60.5,0.07
30-Sep-17,52,64,58,0.01
1-Oct-17,50,62,56,-
2-Oct-17,47,62,54.5,-
3-Oct-17,44,69,56.5,-
4-Oct-17,45,68,56.5,-
5-Oct-17,45,69,57,-
6-Oct-17,46,66,56,0.01
7-Oct-17,49,62,55.5,0.01
8-Oct-17,46,62,54,0.01
9-Oct-17,43,64,53.5,-
10-Oct-17,45,60,52.5,-
11-Oct-17,43,57,50,0.17
12-Oct-17,45,50,47.5,0.38
13-Oct-17,41,54,47.5,-
14-Oct-17,38,56,47,-
15-Oct-17,41,63,52,-
16-Oct-17,42,62,52,-
17-Oct-17,49,60,54.5,0.06
18-Oct-17,47,64,55.5,1.2
19-Oct-17,50,54,52,1.17
20-Oct-17,46,53,49.5,0.15
21-Oct-17,45,58,51.5,1.56
22-Oct-17,50,60,55,0.07
23-Oct-17,49,65,57,-
24-Oct-17,46,66,56,-
25-Oct-17,44,59,51.5,0.01
26-Oct-17,49,58,53.5,-
27-Oct-17,46,66,56,-
28-Oct-17,44,68,56,-
29-Oct-17,46,56,51,-
30-Oct-17,45,63,54,-
31-Oct-17,38,58,48,-
1-Nov-17,47,55,51,0.01
2-Nov-17,42,50,46,0.19
3-Nov-17,33,43,38,0.3
4-Nov-17,35,41,38,0.37
5-Nov-17,33,40,36.5,0.66
6-Nov-17,36,47,41.5,-
7-Nov-17,38,48,43,-
8-Nov-17,45,54,49.5,0.15
9-Nov-17,43,50,46.5,0.42
10-Nov-17,41,51,46,0.01
11-Nov-17,43,52,47.5,0.05
12-Nov-17,47,57,52,0.52
13-Nov-17,45,55,50,0.81
14-Nov-17,44,54,49,0.05
15-Nov-17,43,53,48,0.46
16-Nov-17,42,44,43,0.16
17-Nov-17,42,50,46,-
18-Nov-17,41,52,46.5,-
19-Nov-17,39,53,46,0.58
20-Nov-17,41,50,45.5,0.63
21-Nov-17,38,60,49,1.14
22-Nov-17,56,68,62,0.51
23-Nov-17,48,59,53.5,0.21
24-Nov-17,46,52,49,0.01
25-Nov-17,43,51,47,0.19
26-Nov-17,42,58,50,0.25
27-Nov-17,42,50,46,-
28-Nov-17,43,47,45,0.68
29-Nov-17,41,50,45.5,-
30-Nov-17,41,46,43.5,0.27
1-Dec-17,38,48,43,0.27
2-Dec-17,41,44,42.5,0.79
3-Dec-17,39,46,42.5,0.05
4-Dec-17,34,45,39.5,-
5-Dec-17,33,45,39,-
6-Dec-17,36,52,44,-
7-Dec-17,34,52,43,-
8-Dec-17,29,43,36,-
9-Dec-17,29,44,36.5,-
10-Dec-17,34,49,41.5,-
11-Dec-17,29,49,39,-
12-Dec-17,32,46,39,-
13-Dec-17,34,48,41,-
14-Dec-17,36,50,43,-
15-Dec-17,37,43,40,0.06
16-Dec-17,37,45,41,0.14
17-Dec-17,42,50,46,0.02
18-Dec-17,41,49,45,0.69
19-Dec-17,40,50,45,1.01
20-Dec-17,32,49,40.5,0.13
21-Dec-17,29,41,35,-
22-Dec-17,35,40,37.5,0.09
23-Dec-17,29,38,33.5,-
24-Dec-17,28,38,33,0.12
25-Dec-17,31,35,33,0.09
26-Dec-17,31,39,35,-
27-Dec-17,33,41,37,-
28-Dec-17,38,48,43,0.34
29-Dec-17,39,54,46.5,1.5
30-Dec-17,38,48,43,0.11
31-Dec-17,33,43,38,-
1-Jan-18,31,44,37.5,-
2-Jan-18,34,44,39,-
3-Jan-18,33,49,41,-
4-Jan-18,35,47,41,0.13
5-Jan-18,45,51,48,0.51
6-Jan-18,42,48,45,0.17
7-Jan-18,41,45,43,0.33
8-Jan-18,43,49,46,0.13
9-Jan-18,43,50,46.5,0.04
10-Jan-18,41,45,43,0.17
11-Jan-18,42,50,46,1.12
12-Jan-18,48,51,49.5,0.1
13-Jan-18,45,58,51.5,0.01
14-Jan-18,40,56,48,-
15-Jan-18,41,64,52.5,0.06
16-Jan-18,44,56,50,0.19
17-Jan-18,45,56,50.5,0.43
18-Jan-18,39,52,45.5,0.4
19-Jan-18,38,46,42,0.02
20-Jan-18,39,49,44,0.09
21-Jan-18,39,51,45,0.11
22-Jan-18,40,47,43.5,0.36
23-Jan-18,40,48,44,0.87
24-Jan-18,41,49,45,0.45
25-Jan-18,37,44,40.5,0.15
26-Jan-18,38,42,40,0.4
27-Jan-18,41,48,44.5,0.56
28-Jan-18,43,57,50,0.06
29-Jan-18,43,52,47.5,1.09
30-Jan-18,39,47,43,-
31-Jan-18,39,45,42,-
1-Feb-18,43,46,44.5,0.57
2-Feb-18,45,53,49,0.08
3-Feb-18,48,51,49.5,0.14
4-Feb-18,49,55,52,0.01
5-Feb-18,46,50,48,0.03
6-Feb-18,44,48,46,0.05
7-Feb-18,47,54,50.5,-
8-Feb-18,42,53,47.5,0.05
9-Feb-18,39,49,44,-
10-Feb-18,33,46,39.5,-
11-Feb-18,33,46,39.5,-
12-Feb-18,32,47,39.5,-
13-Feb-18,29,48,38.5,0.14
14-Feb-18,37,44,40.5,0.1
15-Feb-18,36,45,40.5,0.01
16-Feb-18,40,47,43.5,0.11
17-Feb-18,39,49,44,0.3
18-Feb-18,30,39,34.5,0.06
19-Feb-18,28,37,32.5,-
20-Feb-18,27,36,31.5,-
21-Feb-18,26,34,30,0.06
22-Feb-18,26,38,32,-
23-Feb-18,24,40,32,0.03
24-Feb-18,36,45,40.5,0.06
25-Feb-18,35,43,39,0.16
26-Feb-18,32,45,38.5,-
27-Feb-18,37,47,42,0.01
28-Feb-18,39,47,43,0.15
1-Mar-18,37,51,44,0.03
2-Mar-18,37,45,41,0.15
3-Mar-18,34,52,43,-
4-Mar-18,33,48,40.5,0.13
5-Mar-18,39,47,43,-
6-Mar-18,37,53,45,-
7-Mar-18,35,50,42.5,0.04
8-Mar-18,39,52,45.5,0.35
9-Mar-18,40,52,46,-
10-Mar-18,34,59,46.5,-
11-Mar-18,39,64,51.5,-
12-Mar-18,42,73,57.5,-
13-Mar-18,44,64,54,0.27
14-Mar-18,40,53,46.5,0.03
15-Mar-18,35,56,45.5,-
16-Mar-18,39,58,48.5,-
17-Mar-18,38,54,46,-
18-Mar-18,39,55,47,-
19-Mar-18,37,55,46,-
20-Mar-18,36,56,46,-
21-Mar-18,36,58,47,0.06
22-Mar-18,39,49,44,0.5
23-Mar-18,34,49,41.5,0.34
24-Mar-18,34,47,40.5,0.24
25-Mar-18,37,52,44.5,0.04
26-Mar-18,40,46,43,0.15
27-Mar-18,45,52,48.5,0.08
28-Mar-18,44,54,49,-
29-Mar-18,43,55,49,-
30-Mar-18,46,57,51.5,-
31-Mar-18,45,59,52,-
1-Apr-18,38,50,44,-
2-Apr-18,36,53,44.5,-
3-Apr-18,39,50,44.5,-
4-Apr-18,41,50,45.5,0.29
5-Apr-18,46,56,51,0.21
6-Apr-18,49,65,57,0.05
7-Apr-18,46,62,54,0.81
8-Apr-18,46,51,48.5,0.4
9-Apr-18,44,62,53,-
10-Apr-18,46,60,53,0.18
11-Apr-18,42,54,48,0.21
12-Apr-18,41,51,46,0.11
13-Apr-18,43,53,48,0.6
14-Apr-18,45,53,49,1.67
15-Apr-18,43,51,47,0.17
16-Apr-18,41,47,44,0.63
17-Apr-18,42,53,47.5,0.01
18-Apr-18,41,60,50.5,-
19-Apr-18,41,62,51.5,-
20-Apr-18,43,63,53,-
21-Apr-18,45,56,50.5,0.03
22-Apr-18,44,59,51.5,-
23-Apr-18,41,69,55,-
24-Apr-18,49,77,63,-
25-Apr-18,51,75,63,-
26-Apr-18,51,82,66.5,-
27-Apr-18,49,58,53.5,0.01
28-Apr-18,47,55,51,0.31
29-Apr-18,46,61,53.5,-
30-Apr-18,47,59,53,-
1-May-18,48,62,55,-
2-May-18,45,70,57.5,-
3-May-18,50,74,62,-
4-May-18,50,64,57,-
5-May-18,48,68,58,0.01
6-May-18,52,77,64.5,-
7-May-18,53,69,61,-
8-May-18,50,75,62.5,0.02
9-May-18,52,67,59.5,0.01
10-May-18,50,62,56,0.04
11-May-18,50,67,58.5,-
12-May-18,49,77,63,-
13-May-18,52,85,68.5,-
14-May-18,58,88,73,-
15-May-18,54,69,61.5,-
16-May-18,53,68,60.5,-
17-May-18,53,67,60,-
18-May-18,53,66,59.5,-
19-May-18,45,72,58.5,0.02
20-May-18,55,68,61.5,-
21-May-18,54,72,63,-
22-May-18,51,79,65,-
23-May-18,55,80,67.5,-
24-May-18,54,70,62,-
25-May-18,52,68,60,-
26-May-18,52,68,60,-
27-May-18,51,75,63,-
28-May-18,52,70,61,-
29-May-18,50,65,57.5,-
30-May-18,48,67,57.5,-
31-May-18,49,67,58,-
1-Jun-18,48,68,58,-
2-Jun-18,54,77,65.5,-
3-Jun-18,53,63,58,0.01
4-Jun-18,49,69,59,-
5-Jun-18,49,69,59,-
6-Jun-18,51,75,63,-
7-Jun-18,55,68,61.5,-
8-Jun-18,52,64,58,0.25
9-Jun-18,49,63,56,0.09
10-Jun-18,48,62,55,0.06
11-Jun-18,48,68,58,-
12-Jun-18,48,69,58.5,-
13-Jun-18,53,67,60,0.02
14-Jun-18,53,68,60.5,-
15-Jun-18,53,73,63,-
16-Jun-18,54,78,66,-
17-Jun-18,58,88,73,-
18-Jun-18,60,87,73.5,-
19-Jun-18,57,85,71,-
20-Jun-18,59,88,73.5,-
21-Jun-18,58,69,63.5,-
22-Jun-18,57,69,63,-
23-Jun-18,56,72,64,0.07
24-Jun-18,54,79,66.5,-
25-Jun-18,55,71,63,0.13
26-Jun-18,53,73,63,-
27-Jun-18,54,67,60.5,-
28-Jun-18,53,69,61,-
29-Jun-18,55,72,63.5,-
30-Jun-18,56,66,61,-
1-Jul-18,56,71,63.5,0.04
2-Jul-18,53,70,61.5,-
3-Jul-18,50,76,63,-
4-Jul-18,57,83,70,-
5-Jul-18,59,85,72,-
6-Jul-18,60,78,69,-
7-Jul-18,58,74,66,0.01
8-Jul-18,58,81,69.5,-
9-Jul-18,57,72,64.5,-
10-Jul-18,58,78,68,-
11-Jul-18,59,82,70.5,-
12-Jul-18,59,89,74,-
13-Jul-18,61,85,73,-
14-Jul-18,58,87,72.5,-
15-Jul-18,63,93,78,-
16-Jul-18,63,92,77.5,-
17-Jul-18,60,85,72.5,-
18-Jul-18,58,77,67.5,-
19-Jul-18,54,70,62,-
20-Jul-18,55,74,64.5,-
21-Jul-18,56,79,67.5,-
22-Jul-18,61,86,73.5,-
23-Jul-18,63,90,76.5,-
24-Jul-18,59,91,75,-
25-Jul-18,62,92,77,-
26-Jul-18,60,92,76,-
27-Jul-18,57,88,72.5,-
28-Jul-18,58,85,71.5,-
29-Jul-18,60,94,77,-
30-Jul-18,62,89,75.5,-
31-Jul-18,60,80,70,-
1-Aug-18,59,75,67,-
2-Aug-18,58,70,64,0.02
3-Aug-18,59,76,67.5,0.01
4-Aug-18,58,81,69.5,-
5-Aug-18,59,86,72.5,-
6-Aug-18,59,89,74,-
7-Aug-18,60,92,76,-
8-Aug-18,62,94,78,-
9-Aug-18,60,93,76.5,-
10-Aug-18,62,82,72,-
11-Aug-18,62,72,67,0.05
12-Aug-18,59,73,66,-
13-Aug-18,59,79,69,-
14-Aug-18,62,85,73.5,-
15-Aug-18,61,86,73.5,-
16-Aug-18,58,73,65.5,-
17-Aug-18,54,74,64,-
18-Aug-18,55,81,68,-
19-Aug-18,58,80,69,-
20-Aug-18,57,81,69,-
21-Aug-18,65,91,78,-
22-Aug-18,59,89,74,-
23-Aug-18,57,73,65,0.01
24-Aug-18,56,69,62.5,-
25-Aug-18,53,64,58.5,-
26-Aug-18,57,65,61,0.11
27-Aug-18,56,76,66,-
28-Aug-18,55,84,69.5,-
29-Aug-18,57,77,67,-
30-Aug-18,60,73,66.5,-
31-Aug-18,58,69,63.5,-
1-Sep-18,57,73,65,-
2-Sep-18,52,76,64,-
3-Sep-18,58,74,66,-
4-Sep-18,55,77,66,-
5-Sep-18,57,82,69.5,-
6-Sep-18,56,85,70.5,-
7-Sep-18,56,75,65.5,0.05
8-Sep-18,58,71,64.5,0.04
9-Sep-18,57,75,66,0.11
10-Sep-18,58,68,63,0.02
11-Sep-18,56,67,61.5,-
12-Sep-18,55,67,61,0.01
13-Sep-18,55,70,62.5,-
14-Sep-18,55,67,61,0.42
15-Sep-18,53,63,58,0.01
16-Sep-18,51,65,58,0.17
17-Sep-18,51,65,58,-
18-Sep-18,48,67,57.5,-
19-Sep-18,48,68,58,0.03
20-Sep-18,53,66,59.5,0.05
21-Sep-18,59,72,65.5,0.02
22-Sep-18,55,68,61.5,0.05
23-Sep-18,53,65,59,-
24-Sep-18,49,68,58.5,-
25-Sep-18,50,69,59.5,-
26-Sep-18,51,70,60.5,-
27-Sep-18,52,73,62.5,-
28-Sep-18,57,79,68,-
29-Sep-18,52,66,59,0.03
30-Sep-18,56,65,60.5,0.03
1-Oct-18,57,65,61,0.3
2-Oct-18,48,62,55,0.01
3-Oct-18,43,58,50.5,-
4-Oct-18,47,60,53.5,-
5-Oct-18,46,53,49.5,0.56
6-Oct-18,48,60,54,-
7-Oct-18,47,56,51.5,0.03
8-Oct-18,52,58,55,0.09
9-Oct-18,51,59,55,0.1
10-Oct-18,49,64,56.5,-
11-Oct-18,45,63,54,-
12-Oct-18,47,64,55.5,-
13-Oct-18,49,62,55.5,-
14-Oct-18,45,68,56.5,-
15-Oct-18,44,66,55,-
16-Oct-18,46,72,59,-
17-Oct-18,44,70,57,-
18-Oct-18,46,67,56.5,-
19-Oct-18,45,61,53,-
20-Oct-18,45,58,51.5,-
21-Oct-18,43,56,49.5,-
22-Oct-18,43,53,48,-
23-Oct-18,43,54,48.5,0.06
24-Oct-18,49,60,54.5,-
25-Oct-18,53,58,55.5,0.46
26-Oct-18,51,63,57,0.65
27-Oct-18,45,60,52.5,0.75
28-Oct-18,49,57,53,0.7
29-Oct-18,44,55,49.5,0.02
30-Oct-18,45,56,50.5,0.03
31-Oct-18,49,58,53.5,0.02
1-Nov-18,57,62,59.5,0.02
2-Nov-18,54,62,58,0.32
3-Nov-18,53,55,54,0.18
4-Nov-18,52,61,56.5,0.03
5-Nov-18,48,56,52,-
6-Nov-18,46,56,51,0.05
7-Nov-18,40,53,46.5,0.04
8-Nov-18,36,50,43,-
9-Nov-18,35,43,39,0.07
10-Nov-18,40,50,45,-
11-Nov-18,34,50,42,-
12-Nov-18,41,61,51,-
13-Nov-18,39,54,46.5,-
14-Nov-18,46,57,51.5,0.11
15-Nov-18,49,55,52,0.02
16-Nov-18,46,55,50.5,0.03
17-Nov-18,41,55,48,-
18-Nov-18,38,55,46.5,-
19-Nov-18,34,54,44,-
20-Nov-18,34,55,44.5,-
21-Nov-18,47,53,50,0.1
22-Nov-18,45,52,48.5,0.49
23-Nov-18,42,49,45.5,0.34
24-Nov-18,38,49,43.5,-
25-Nov-18,36,48,42,0.01
26-Nov-18,45,57,51,1.41
27-Nov-18,48,58,53,1.85
28-Nov-18,47,51,49,0.16
29-Nov-18,43,50,46.5,-
30-Nov-18,43,50,46.5,0.19
1-Dec-18,39,46,42.5,0.07
2-Dec-18,40,46,43,0.05
3-Dec-18,35,47,41,-
4-Dec-18,32,47,39.5,-
5-Dec-18,31,45,38,-
6-Dec-18,33,46,39.5,-
7-Dec-18,34,44,39,-
8-Dec-18,40,48,44,-
9-Dec-18,42,48,45,0.59
10-Dec-18,42,49,45.5,0.09
11-Dec-18,43,50,46.5,0.73
12-Dec-18,39,49,44,0.07
13-Dec-18,45,52,48.5,0.29
14-Dec-18,43,57,50,0.01
15-Dec-18,41,52,46.5,0.06
16-Dec-18,45,56,50.5,0.33
17-Dec-18,46,54,50,0.45
18-Dec-18,45,54,49.5,0.7
19-Dec-18,45,51,48,0.11
20-Dec-18,40,59,49.5,0.27
21-Dec-18,35,44,39.5,-
22-Dec-18,37,48,42.5,0.29
23-Dec-18,42,47,44.5,0.73
24-Dec-18,40,51,45.5,-
25-Dec-18,36,45,40.5,0.02
26-Dec-18,39,43,41,0.14
27-Dec-18,39,47,43,0.01
28-Dec-18,39,49,44,0.43
29-Dec-18,43,51,47,0.61
30-Dec-18,38,49,43.5,0.02
31-Dec-18,34,43,38.5,-
1-Jan-19,33,44,38.5,-
2-Jan-19,32,47,39.5,0.01
3-Jan-19,43,56,49.5,0.78
4-Jan-19,46,51,48.5,0.08
5-Jan-19,41,51,46,0.04
6-Jan-19,36,50,43,0.39
7-Jan-19,37,45,41,-
8-Jan-19,36,49,42.5,0.15
9-Jan-19,45,53,49,0.2
10-Jan-19,46,54,50,0.26
11-Jan-19,44,61,52.5,-
12-Jan-19,38,59,48.5,-
13-Jan-19,37,56,46.5,-
14-Jan-19,35,51,43,-
15-Jan-19,31,47,39,-
16-Jan-19,37,55,46,-
17-Jan-19,47,57,52,0.05
18-Jan-19,45,53,49,0.41
19-Jan-19,42,51,46.5,0.08
20-Jan-19,38,47,42.5,-
21-Jan-19,36,47,41.5,-
22-Jan-19,40,49,44.5,0.85
23-Jan-19,46,51,48.5,0.37
24-Jan-19,41,47,44,0.09
25-Jan-19,39,50,44.5,-
26-Jan-19,35,51,43,-
27-Jan-19,36,43,39.5,-
28-Jan-19,37,51,44,-
29-Jan-19,36,54,45,-
30-Jan-19,33,51,42,-
31-Jan-19,37,54,45.5,0.01
1-Feb-19,44,50,47,0.68
2-Feb-19,41,48,44.5,0.03
3-Feb-19,31,42,36.5,0.07
4-Feb-19,25,32,28.5,0.08
5-Feb-19,20,34,27,-
6-Feb-19,20,37,28.5,-
7-Feb-19,25,39,32,-
8-Feb-19,29,37,33,0.46
9-Feb-19,25,33,29,0.16
10-Feb-19,21,36,28.5,0.16
11-Feb-19,29,38,33.5,1.2
12-Feb-19,34,40,37,0.85
13-Feb-19,31,39,35,0.02
14-Feb-19,29,44,36.5,0.12
15-Feb-19,38,47,42.5,-
16-Feb-19,36,44,40,0.15
17-Feb-19,32,43,37.5,-
18-Feb-19,35,45,40,0.05
19-Feb-19,38,43,40.5,0.13
20-Feb-19,37,43,40,0.19
21-Feb-19,32,47,39.5,-
22-Feb-19,34,42,38,0.11
23-Feb-19,36,45,40.5,0.05
24-Feb-19,37,42,39.5,0.01
25-Feb-19,32,44,38,-
26-Feb-19,30,43,36.5,-
27-Feb-19,33,43,38,-
28-Feb-19,30,49,39.5,-
1-Mar-19,34,51,42.5,-
2-Mar-19,34,51,42.5,-
3-Mar-19,33,47,40,-
4-Mar-19,31,46,38.5,-
5-Mar-19,28,49,38.5,-
6-Mar-19,34,40,37,0.12
7-Mar-19,33,45,39,0.21
8-Mar-19,34,41,37.5,0.06
9-Mar-19,30,48,39,-
10-Mar-19,31,52,41.5,-
11-Mar-19,34,51,42.5,0.21
12-Mar-19,37,48,42.5,0.56
13-Mar-19,37,52,44.5,-
14-Mar-19,39,54,46.5,-
15-Mar-19,40,60,50,-
16-Mar-19,42,61,51.5,-
17-Mar-19,40,64,52,-
18-Mar-19,44,76,60,-
19-Mar-19,59,79,69,-
20-Mar-19,54,79,66.5,-
21-Mar-19,46,60,53,-
22-Mar-19,47,65,56,0.01
23-Mar-19,45,59,52,-
24-Mar-19,45,57,51,-
25-Mar-19,41,60,50.5,0.16
26-Mar-19,42,58,50,0.04
27-Mar-19,42,60,51,-
28-Mar-19,44,64,54,-
29-Mar-19,44,62,53,-
30-Mar-19,43,66,54.5,-
31-Mar-19,43,68,55.5,-
1-Apr-19,45,70,57.5,-
2-Apr-19,52,68,60,-
3-Apr-19,47,59,53,0.03
4-Apr-19,45,63,54,0.04
5-Apr-19,47,57,52,0.34
6-Apr-19,45,57,51,0.17
7-Apr-19,44,55,49.5,0.37
8-Apr-19,47,61,54,0.05
9-Apr-19,46,58,52,0.33
10-Apr-19,46,53,49.5,0.21
11-Apr-19,46,53,49.5,0.23
12-Apr-19,47,60,53.5,0.89
13-Apr-19,45,51,48,0.09
14-Apr-19,43,51,47,0.01
15-Apr-19,40,56,48,-
16-Apr-19,45,56,50.5,0.21
17-Apr-19,48,63,55.5,-
18-Apr-19,53,62,57.5,0.13
19-Apr-19,50,56,53,0.16
20-Apr-19,47,60,53.5,-
21-Apr-19,45,60,52.5,-
22-Apr-19,45,59,52,0.13
23-Apr-19,49,60,54.5,-
24-Apr-19,47,61,54,-
25-Apr-19,44,62,53,-
26-Apr-19,45,63,54,-
27-Apr-19,42,54,48,0.14
28-Apr-19,37,60,48.5,-
29-Apr-19,44,65,54.5,-
30-Apr-19,41,67,54,-
1-May-19,43,64,53.5,-
2-May-19,47,59,53,-
3-May-19,46,63,54.5,-
4-May-19,45,69,57,-
5-May-19,49,70,59.5,-
6-May-19,50,76,63,-
7-May-19,51,74,62.5,-
8-May-19,50,75,62.5,-
9-May-19,56,83,69.5,-
10-May-19,56,86,71,-
11-May-19,53,83,68,-
12-May-19,51,67,59,-
13-May-19,48,68,58,-
14-May-19,52,60,56,0.16
15-May-19,52,71,61.5,0.02
16-May-19,53,64,58.5,0.1
