Daily Observed Min/Max Temperature & Precipitation,,,,
,San Francisco CA - KSFO,,,
Date,Min,Max,Avg,Precip
25-Apr-16,47,63,55,-
26-Apr-16,47,62,54.5,-
27-Apr-16,49,60,54.5,0.04
28-Apr-16,48,63,55.5,-
29-Apr-16,48,60,54,-
30-Apr-16,49,71,60,-
1-May-16,54,80,67,-
2-May-16,51,65,58,-
3-May-16,51,65,58,-
4-May-16,52,67,59.5,-
5-May-16,54,67,60.5,-
6-May-16,54,80,67,0.03
7-May-16,54,63,58.5,0.01
8-May-16,55,67,61,0.01
9-May-16,52,68,60,-
10-May-16,52,67,59.5,-
11-May-16,52,66,59,-
12-May-16,53,65,59,-
13-May-16,55,66,60.5,-
14-May-16,54,71,62.5,-
15-May-16,56,66,61,-
16-May-16,54,71,62.5,-
17-May-16,54,87,70.5,-
18-May-16,56,73,64.5,-
19-May-16,53,64,58.5,-
20-May-16,52,62,57,-
21-May-16,54,64,59,-
22-May-16,55,65,60,-
23-May-16,54,66,60,-
24-May-16,56,65,60.5,-
25-May-16,56,65,60.5,-
26-May-16,55,70,62.5,-
27-May-16,53,73,63,-
28-May-16,56,79,67.5,-
29-May-16,53,72,62.5,-
30-May-16,53,70,61.5,-
31-May-16,53,73,63,-
1-Jun-16,53,75,64,-
2-Jun-16,54,72,63,-
3-Jun-16,56,87,71.5,-
4-Jun-16,56,74,65,-
5-Jun-16,53,72,62.5,-
6-Jun-16,53,71,62,-
7-Jun-16,57,70,63.5,-
8-Jun-16,58,69,63.5,-
9-Jun-16,57,64,60.5,-
10-Jun-16,54,68,61,-
11-Jun-16,51,80,65.5,-
12-Jun-16,58,76,67,-
13-Jun-16,55,66,60.5,-
14-Jun-16,55,65,60,-
15-Jun-16,53,66,59.5,-
16-Jun-16,56,74,65,-
17-Jun-16,58,72,65,-
18-Jun-16,56,72,64,-
19-Jun-16,57,84,70.5,-
20-Jun-16,55,72,63.5,-
21-Jun-16,55,78,66.5,-
22-Jun-16,55,65,60,-
23-Jun-16,54,73,63.5,-
24-Jun-16,54,73,63.5,-
25-Jun-16,55,77,66,-
26-Jun-16,54,72,63,-
27-Jun-16,52,70,61,-
28-Jun-16,52,67,59.5,-
29-Jun-16,52,63,57.5,-
30-Jun-16,53,73,63,-
1-Jul-16,54,70,62,-
2-Jul-16,54,74,64,-
3-Jul-16,54,74,64,-
4-Jul-16,55,73,64,-
5-Jul-16,55,67,61,-
6-Jul-16,54,67,60.5,-
7-Jul-16,55,63,59,-
8-Jul-16,56,69,62.5,-
9-Jul-16,58,72,65,-
10-Jul-16,56,73,64.5,-
11-Jul-16,55,69,62,-
12-Jul-16,55,69,62,-
13-Jul-16,55,77,66,-
14-Jul-16,54,68,61,-
15-Jul-16,54,73,63.5,-
16-Jul-16,55,73,64,-
17-Jul-16,55,71,63,-
18-Jul-16,56,69,62.5,-
19-Jul-16,55,69,62,-
20-Jul-16,56,68,62,-
21-Jul-16,56,70,63,-
22-Jul-16,54,70,62,-
23-Jul-16,56,72,64,-
24-Jul-16,56,69,62.5,-
25-Jul-16,54,72,63,-
26-Jul-16,53,81,67,-
27-Jul-16,54,72,63,-
28-Jul-16,53,69,61,-
29-Jul-16,53,69,61,-
30-Jul-16,54,73,63.5,-
31-Jul-16,56,76,66,-
1-Aug-16,57,74,65.5,-
2-Aug-16,56,69,62.5,-
3-Aug-16,54,73,63.5,-
4-Aug-16,56,67,61.5,-
5-Aug-16,55,69,62,-
6-Aug-16,56,68,62,-
7-Aug-16,56,70,63,-
8-Aug-16,56,73,64.5,-
9-Aug-16,57,76,66.5,-
10-Aug-16,56,74,65,-
11-Aug-16,57,73,65,-
12-Aug-16,54,69,61.5,-
13-Aug-16,53,70,61.5,-
14-Aug-16,54,70,62,-
15-Aug-16,55,70,62.5,-
16-Aug-16,55,68,61.5,-
17-Aug-16,55,70,62.5,-
18-Aug-16,58,73,65.5,-
19-Aug-16,58,73,65.5,-
20-Aug-16,58,69,63.5,-
21-Aug-16,58,69,63.5,-
22-Aug-16,58,69,63.5,-
23-Aug-16,57,73,65,-
24-Aug-16,57,68,62.5,-
25-Aug-16,56,70,63,-
26-Aug-16,59,72,65.5,-
27-Aug-16,61,72,66.5,-
28-Aug-16,59,72,65.5,-
29-Aug-16,57,71,64,-
30-Aug-16,60,73,66.5,-
31-Aug-16,59,71,65,-
1-Sep-16,58,68,63,-
2-Sep-16,55,71,63,-
3-Sep-16,57,66,61.5,-
4-Sep-16,56,67,61.5,-
5-Sep-16,53,72,62.5,-
6-Sep-16,54,84,69,-
7-Sep-16,58,88,73,-
8-Sep-16,57,73,65,-
9-Sep-16,56,67,61.5,-
10-Sep-16,55,67,61,-
11-Sep-16,55,71,63,-
12-Sep-16,54,66,60,-
13-Sep-16,56,71,63.5,-
14-Sep-16,56,74,65,-
15-Sep-16,55,65,60,-
16-Sep-16,55,69,62,-
17-Sep-16,53,71,62,-
18-Sep-16,56,88,72,-
19-Sep-16,61,85,73,-
20-Sep-16,58,73,65.5,-
21-Sep-16,57,66,61.5,-
22-Sep-16,56,68,62,-
23-Sep-16,52,73,62.5,-
24-Sep-16,58,82,70,-
25-Sep-16,58,94,76,-
26-Sep-16,63,93,78,-
27-Sep-16,56,79,67.5,-
28-Sep-16,55,68,61.5,-
29-Sep-16,54,63,58.5,-
30-Sep-16,54,65,59.5,-
1-Oct-16,54,69,61.5,-
2-Oct-16,56,68,62,-
3-Oct-16,54,65,59.5,-
4-Oct-16,57,70,63.5,-
5-Oct-16,54,70,62,-
6-Oct-16,53,75,64,-
7-Oct-16,54,84,69,-
8-Oct-16,57,84,70.5,-
9-Oct-16,53,80,66.5,-
10-Oct-16,52,71,61.5,-
11-Oct-16,55,68,61.5,-
12-Oct-16,55,60,57.5,-
13-Oct-16,55,72,63.5,-
14-Oct-16,58,68,63,-
15-Oct-16,56,72,64,0.39
16-Oct-16,62,66,64,0.68
17-Oct-16,58,69,63.5,-
18-Oct-16,56,69,62.5,-
19-Oct-16,53,74,63.5,-
20-Oct-16,54,78,66,-
21-Oct-16,57,73,65,-
22-Oct-16,56,67,61.5,-
23-Oct-16,51,66,58.5,-
24-Oct-16,60,69,64.5,0.03
25-Oct-16,62,71,66.5,0.04
26-Oct-16,58,72,65,-
27-Oct-16,60,65,62.5,0.48
28-Oct-16,61,67,64,0.36
29-Oct-16,61,70,65.5,0.02
30-Oct-16,57,67,62,0.52
31-Oct-16,54,66,60,0.03
1-Nov-16,53,64,58.5,0.02
2-Nov-16,51,69,60,-
3-Nov-16,53,71,62,-
4-Nov-16,55,72,63.5,-
5-Nov-16,53,66,59.5,-
6-Nov-16,60,67,63.5,-
7-Nov-16,57,69,63,-
8-Nov-16,57,72,64.5,-
9-Nov-16,57,75,66,-
10-Nov-16,57,73,65,-
11-Nov-16,57,69,63,-
12-Nov-16,57,70,63.5,-
13-Nov-16,54,68,61,-
14-Nov-16,54,63,58.5,-
15-Nov-16,56,65,60.5,-
16-Nov-16,50,61,55.5,-
17-Nov-16,46,61,53.5,-
18-Nov-16,46,67,56.5,-
19-Nov-16,55,61,58,0.59
20-Nov-16,54,60,57,0.2
21-Nov-16,52,61,56.5,-
22-Nov-16,47,60,53.5,0.02
23-Nov-16,50,61,55.5,0.03
24-Nov-16,44,59,51.5,-
25-Nov-16,45,58,51.5,-
26-Nov-16,51,56,53.5,0.51
27-Nov-16,51,59,55,0.11
28-Nov-16,51,61,56,-
29-Nov-16,44,61,52.5,-
30-Nov-16,45,56,50.5,0.06
1-Dec-16,44,60,52,-
2-Dec-16,49,62,55.5,-
3-Dec-16,44,62,53,-
4-Dec-16,45,59,52,-
5-Dec-16,50,55,52.5,-
6-Dec-16,43,56,49.5,-
7-Dec-16,42,51,46.5,0.44
8-Dec-16,49,61,55,1.32
9-Dec-16,56,63,59.5,0.04
10-Dec-16,52,61,56.5,0.64
11-Dec-16,47,54,50.5,-
12-Dec-16,49,55,52,-
13-Dec-16,50,55,52.5,0.04
14-Dec-16,52,62,57,0.03
15-Dec-16,51,61,56,1.49
16-Dec-16,45,54,49.5,-
17-Dec-16,38,52,45,-
18-Dec-16,37,53,45,-
19-Dec-16,36,55,45.5,-
20-Dec-16,40,56,48,-
21-Dec-16,45,62,53.5,-
22-Dec-16,42,58,50,-
23-Dec-16,47,57,52,0.62
24-Dec-16,43,52,47.5,0.03
25-Dec-16,37,53,45,-
26-Dec-16,41,53,47,-
27-Dec-16,39,53,46,-
28-Dec-16,40,58,49,-
29-Dec-16,41,58,49.5,-
30-Dec-16,43,56,49.5,-
31-Dec-16,44,53,48.5,-
1-Jan-17,46,54,50,0.04
2-Jan-17,44,52,48,0.18
3-Jan-17,48,59,53.5,0.65
4-Jan-17,47,59,53,0.49
5-Jan-17,41,51,46,-
6-Jan-17,38,49,43.5,-
7-Jan-17,44,62,53,0.83
8-Jan-17,54,64,59,1.28
9-Jan-17,53,59,56,0.28
10-Jan-17,56,60,58,1.82
11-Jan-17,50,58,54,0.04
12-Jan-17,45,52,48.5,0.3
13-Jan-17,40,57,48.5,-
14-Jan-17,40,58,49,-
15-Jan-17,41,52,46.5,-
16-Jan-17,44,54,49,-
17-Jan-17,41,52,46.5,-
18-Jan-17,49,55,52,0.9
19-Jan-17,51,58,54.5,0.05
20-Jan-17,43,56,49.5,1.19
21-Jan-17,48,56,52,0.28
22-Jan-17,47,57,52,0.68
23-Jan-17,45,54,49.5,0.32
24-Jan-17,41,54,47.5,-
25-Jan-17,41,56,48.5,-
26-Jan-17,43,56,49.5,-
27-Jan-17,41,58,49.5,-
28-Jan-17,41,59,50,-
29-Jan-17,41,60,50.5,-
30-Jan-17,42,60,51,-
31-Jan-17,42,59,50.5,-
1-Feb-17,47,56,51.5,0.01
2-Feb-17,51,62,56.5,0.15
3-Feb-17,55,61,58,0.44
4-Feb-17,53,61,57,0.18
5-Feb-17,50,61,55.5,0.16
6-Feb-17,55,60,57.5,0.49
7-Feb-17,56,63,59.5,0.93
8-Feb-17,56,64,60,0.26
9-Feb-17,58,63,60.5,0.64
10-Feb-17,51,62,56.5,0.12
11-Feb-17,47,59,53,-
12-Feb-17,44,64,54,-
13-Feb-17,46,63,54.5,-
14-Feb-17,48,66,57,-
15-Feb-17,51,63,57,-
16-Feb-17,55,64,59.5,0.37
17-Feb-17,54,59,56.5,0.86
18-Feb-17,50,57,53.5,0.19
19-Feb-17,50,58,54,0.08
20-Feb-17,54,60,57,2.17
21-Feb-17,50,61,55.5,0.29
22-Feb-17,45,55,50,-
23-Feb-17,42,53,47.5,-
24-Feb-17,40,54,47,-
25-Feb-17,44,56,50,0.02
26-Feb-17,40,57,48.5,0.02
27-Feb-17,42,55,48.5,0.05
28-Feb-17,43,57,50,-
1-Mar-17,43,62,52.5,-
2-Mar-17,43,66,54.5,-
3-Mar-17,44,62,53,-
4-Mar-17,51,61,56,0.54
5-Mar-17,42,53,47.5,0.29
6-Mar-17,43,56,49.5,0.28
7-Mar-17,42,59,50.5,-
8-Mar-17,46,64,55,-
9-Mar-17,50,67,58.5,-
10-Mar-17,52,67,59.5,-
11-Mar-17,50,65,57.5,-
12-Mar-17,48,70,59,-
13-Mar-17,48,77,62.5,-
14-Mar-17,54,76,65,-
15-Mar-17,52,62,57,-
16-Mar-17,51,65,58,-
17-Mar-17,48,71,59.5,-
18-Mar-17,53,69,61,-
19-Mar-17,54,63,58.5,-
20-Mar-17,55,62,58.5,0.45
21-Mar-17,57,65,61,0.35
22-Mar-17,52,59,55.5,0.27
23-Mar-17,50,61,55.5,-
24-Mar-17,53,58,55.5,0.75
25-Mar-17,52,61,56.5,-
26-Mar-17,52,63,57.5,0.02
27-Mar-17,51,61,56,-
28-Mar-17,48,68,58,-
29-Mar-17,53,65,59,-
30-Mar-17,51,61,56,0.01
31-Mar-17,55,68,61.5,-
1-Apr-17,53,78,65.5,-
2-Apr-17,52,74,63,-
3-Apr-17,49,68,58.5,-
4-Apr-17,48,72,60,-
5-Apr-17,52,68,60,-
6-Apr-17,50,65,57.5,0.88
7-Apr-17,50,64,57,0.62
8-Apr-17,47,56,51.5,0.11
9-Apr-17,45,60,52.5,-
10-Apr-17,46,64,55,-
11-Apr-17,53,67,60,0.02
12-Apr-17,54,64,59,0.17
13-Apr-17,50,59,54.5,0.04
14-Apr-17,47,61,54,-
15-Apr-17,46,67,56.5,-
16-Apr-17,52,60,56,0.07
17-Apr-17,54,62,58,0.17
18-Apr-17,52,67,59.5,0.02
19-Apr-17,49,67,58,0.04
20-Apr-17,54,65,59.5,0.06
21-Apr-17,51,74,62.5,-
22-Apr-17,51,65,58,-
23-Apr-17,53,64,58.5,-
24-Apr-17,53,62,57.5,-
25-Apr-17,52,64,58,-
26-Apr-17,54,64,59,-
27-Apr-17,52,65,58.5,-
28-Apr-17,49,68,58.5,-
29-Apr-17,54,77,65.5,-
30-Apr-17,50,74,62,-
1-May-17,54,84,69,-
2-May-17,57,85,71,-
3-May-17,53,87,70,-
4-May-17,52,66,59,-
5-May-17,51,63,57,-
6-May-17,50,63,56.5,-
7-May-17,50,70,60,-
8-May-17,50,70,60,-
9-May-17,51,75,63,-
10-May-17,53,68,60.5,-
11-May-17,52,69,60.5,-
12-May-17,51,64,57.5,-
13-May-17,49,64,56.5,-
14-May-17,49,62,55.5,-
15-May-17,50,63,56.5,-
16-May-17,52,63,57.5,-
17-May-17,50,66,58,-
18-May-17,49,76,62.5,-
19-May-17,52,80,66,-
20-May-17,52,87,69.5,-
21-May-17,53,77,65,-
22-May-17,51,70,60.5,-
23-May-17,52,69,60.5,-
24-May-17,53,69,61,-
25-May-17,55,65,60,-
26-May-17,54,65,59.5,-
27-May-17,54,67,60.5,-
28-May-17,54,64,59,-
29-May-17,53,60,56.5,-
30-May-17,52,63,57.5,-
31-May-17,54,70,62,-
1-Jun-17,55,69,62,-
2-Jun-17,53,71,62,-
3-Jun-17,54,67,60.5,-
4-Jun-17,53,67,60,-
5-Jun-17,51,74,62.5,-
6-Jun-17,52,65,58.5,-
7-Jun-17,54,68,61,-
8-Jun-17,59,66,62.5,0.05
9-Jun-17,56,66,61,-
10-Jun-17,54,68,61,-
11-Jun-17,54,64,59,-
12-Jun-17,53,65,59,-
13-Jun-17,52,70,61,-
14-Jun-17,53,73,63,-
15-Jun-17,55,72,63.5,-
16-Jun-17,57,75,66,-
17-Jun-17,55,77,66,-
18-Jun-17,62,97,79.5,-
19-Jun-17,58,77,67.5,-
20-Jun-17,56,72,64,-
21-Jun-17,54,76,65,-
22-Jun-17,59,80,69.5,-
23-Jun-17,58,73,65.5,-
24-Jun-17,57,69,63,-
25-Jun-17,57,68,62.5,-
26-Jun-17,59,73,66,-
27-Jun-17,57,66,61.5,-
28-Jun-17,57,66,61.5,-
29-Jun-17,56,66,61,-
30-Jun-17,54,65,59.5,-
1-Jul-17,54,66,60,-
2-Jul-17,54,74,64,-
3-Jul-17,54,79,66.5,-
4-Jul-17,55,72,63.5,-
5-Jul-17,55,67,61,-
6-Jul-17,54,73,63.5,-
7-Jul-17,54,81,67.5,-
8-Jul-17,56,79,67.5,-
9-Jul-17,53,70,61.5,-
10-Jul-17,55,68,61.5,-
11-Jul-17,55,73,64,-
12-Jul-17,56,70,63,-
13-Jul-17,54,70,62,-
14-Jul-17,55,75,65,-
15-Jul-17,55,85,70,-
16-Jul-17,59,84,71.5,-
17-Jul-17,57,72,64.5,-
18-Jul-17,55,67,61,-
19-Jul-17,54,70,62,-
20-Jul-17,56,68,62,-
21-Jul-17,55,70,62.5,-
22-Jul-17,55,80,67.5,-
23-Jul-17,56,70,63,-
24-Jul-17,55,74,64.5,-
25-Jul-17,58,77,67.5,-
26-Jul-17,57,73,65,-
27-Jul-17,57,76,66.5,-
28-Jul-17,57,67,62,-
29-Jul-17,57,68,62.5,-
30-Jul-17,57,71,64,-
31-Jul-17,55,69,62,-
1-Aug-17,54,75,64.5,-
2-Aug-17,56,80,68,-
3-Aug-17,61,78,69.5,-
4-Aug-17,60,76,68,-
5-Aug-17,59,73,66,-
6-Aug-17,61,71,66,-
7-Aug-17,61,71,66,-
8-Aug-17,60,72,66,-
9-Aug-17,59,67,63,-
10-Aug-17,59,71,65,-
11-Aug-17,58,71,64.5,-
12-Aug-17,60,73,66.5,-
13-Aug-17,60,72,66,-
14-Aug-17,59,63,61,-
15-Aug-17,59,73,66,-
16-Aug-17,60,75,67.5,-
17-Aug-17,60,72,66,-
18-Aug-17,59,72,65.5,-
19-Aug-17,59,76,67.5,-
20-Aug-17,61,72,66.5,-
21-Aug-17,61,75,68,-
22-Aug-17,60,73,66.5,-
23-Aug-17,59,70,64.5,-
24-Aug-17,58,70,64,-
25-Aug-17,55,69,62,-
26-Aug-17,53,81,67,-
27-Aug-17,60,77,68.5,-
28-Aug-17,58,73,65.5,-
29-Aug-17,58,67,62.5,-
30-Aug-17,56,69,62.5,-
31-Aug-17,56,88,72,-
1-Sep-17,67,104,85.5,-
2-Sep-17,72,104,88,-
3-Sep-17,68,86,77,-
4-Sep-17,68,84,76,-
5-Sep-17,60,83,71.5,-
6-Sep-17,64,78,71,-
7-Sep-17,62,72,67,-
8-Sep-17,60,72,66,-
9-Sep-17,61,75,68,-
10-Sep-17,61,92,76.5,-
11-Sep-17,67,86,76.5,0.22
12-Sep-17,65,85,75,-
13-Sep-17,63,74,68.5,-
14-Sep-17,60,71,65.5,-
15-Sep-17,58,72,65,-
16-Sep-17,56,72,64,-
17-Sep-17,56,73,64.5,-
18-Sep-17,60,73,66.5,-
19-Sep-17,58,73,65.5,-
20-Sep-17,59,71,65,-
21-Sep-17,56,67,61.5,-
22-Sep-17,57,70,63.5,-
23-Sep-17,54,77,65.5,-
24-Sep-17,54,79,66.5,-
25-Sep-17,56,82,69,-
26-Sep-17,59,88,73.5,-
27-Sep-17,62,87,74.5,-
28-Sep-17,58,81,69.5,-
29-Sep-17,57,68,62.5,-
30-Sep-17,57,72,64.5,-
1-Oct-17,56,73,64.5,-
2-Oct-17,54,74,64,-
3-Oct-17,53,73,63,-
4-Oct-17,52,76,64,-
5-Oct-17,50,79,64.5,-
6-Oct-17,53,84,68.5,-
7-Oct-17,54,77,65.5,-
8-Oct-17,53,79,66,-
9-Oct-17,60,79,69.5,-
10-Oct-17,53,76,64.5,-
11-Oct-17,51,66,58.5,-
12-Oct-17,50,69,59.5,-
13-Oct-17,50,73,61.5,-
14-Oct-17,52,77,64.5,-
15-Oct-17,52,81,66.5,-
16-Oct-17,56,83,69.5,-
17-Oct-17,50,78,64,-
18-Oct-17,48,63,55.5,-
19-Oct-17,54,67,60.5,0.06
20-Oct-17,54,64,59,0.15
21-Oct-17,51,68,59.5,-
22-Oct-17,52,73,62.5,-
23-Oct-17,56,83,69.5,-
24-Oct-17,64,91,77.5,-
25-Oct-17,62,83,72.5,-
26-Oct-17,61,86,73.5,-
27-Oct-17,54,80,67,-
28-Oct-17,52,67,59.5,-
29-Oct-17,53,63,58,-
30-Oct-17,55,62,58.5,-
31-Oct-17,52,66,59,-
1-Nov-17,50,67,58.5,-
2-Nov-17,50,66,58,-
3-Nov-17,58,68,63,0.03
4-Nov-17,50,61,55.5,0.45
5-Nov-17,46,60,53,-
6-Nov-17,51,63,57,-
7-Nov-17,46,64,55,-
8-Nov-17,52,65,58.5,0.13
9-Nov-17,59,68,63.5,0.03
10-Nov-17,55,65,60,0.01
11-Nov-17,54,64,59,-
12-Nov-17,50,63,56.5,-
13-Nov-17,55,67,61,-
14-Nov-17,52,64,58,-
15-Nov-17,54,65,59.5,0.07
16-Nov-17,53,63,58,1.6
17-Nov-17,51,61,56,0.01
18-Nov-17,43,62,52.5,-
19-Nov-17,46,59,52.5,-
20-Nov-17,55,63,59,-
21-Nov-17,55,66,60.5,-
22-Nov-17,54,68,61,-
23-Nov-17,57,67,62,-
24-Nov-17,56,69,62.5,-
25-Nov-17,56,68,62,-
26-Nov-17,53,67,60,0.11
27-Nov-17,50,60,55,0.22
28-Nov-17,46,60,53,-
29-Nov-17,48,64,56,-
30-Nov-17,46,65,55.5,-
1-Dec-17,46,60,53,-
2-Dec-17,48,58,53,0.01
3-Dec-17,49,57,53,0.02
4-Dec-17,51,62,56.5,-
5-Dec-17,47,66,56.5,-
6-Dec-17,42,62,52,-
7-Dec-17,45,65,55,-
8-Dec-17,43,62,52.5,-
9-Dec-17,43,63,53,-
10-Dec-17,42,63,52.5,-
11-Dec-17,44,65,54.5,-
12-Dec-17,42,60,51,-
13-Dec-17,41,61,51,-
14-Dec-17,43,64,53.5,-
15-Dec-17,44,57,50.5,-
16-Dec-17,49,64,56.5,-
17-Dec-17,48,63,55.5,-
18-Dec-17,44,61,52.5,-
19-Dec-17,43,60,51.5,-
20-Dec-17,47,55,51,0.04
21-Dec-17,40,56,48,-
22-Dec-17,38,53,45.5,-
23-Dec-17,43,53,48,-
24-Dec-17,47,53,50,-
25-Dec-17,44,57,50.5,-
26-Dec-17,43,58,50.5,-
27-Dec-17,43,56,49.5,-
28-Dec-17,43,57,50,-
29-Dec-17,44,56,50,-
30-Dec-17,43,59,51,-
31-Dec-17,45,57,51,-
1-Jan-18,45,58,51.5,-
2-Jan-18,50,59,54.5,-
3-Jan-18,51,58,54.5,0.3
4-Jan-18,52,63,57.5,0.03
5-Jan-18,53,64,58.5,0.19
6-Jan-18,48,58,53,-
7-Jan-18,47,53,50,-
8-Jan-18,51,58,54.5,3.12
9-Jan-18,52,58,55,0.42
10-Jan-18,51,58,54.5,-
11-Jan-18,52,58,55,-
12-Jan-18,50,55,52.5,-
13-Jan-18,46,60,53,-
14-Jan-18,48,56,52,-
15-Jan-18,48,58,53,-
16-Jan-18,55,59,57,-
17-Jan-18,52,58,55,-
18-Jan-18,50,60,55,0.15
19-Jan-18,47,57,52,-
20-Jan-18,44,56,50,-
21-Jan-18,42,57,49.5,-
22-Jan-18,51,58,54.5,0.25
23-Jan-18,45,57,51,-
24-Jan-18,45,60,52.5,0.27
25-Jan-18,45,58,51.5,0.12
26-Jan-18,42,54,48,-
27-Jan-18,42,60,51,-
28-Jan-18,46,66,56,-
29-Jan-18,47,61,54,-
30-Jan-18,48,64,56,-
31-Jan-18,46,65,55.5,-
1-Feb-18,51,73,62,-
2-Feb-18,51,73,62,-
3-Feb-18,50,76,63,-
4-Feb-18,51,75,63,-
5-Feb-18,53,72,62.5,-
6-Feb-18,52,75,63.5,-
7-Feb-18,51,72,61.5,-
8-Feb-18,51,74,62.5,-
9-Feb-18,51,74,62.5,-
10-Feb-18,53,65,59,-
11-Feb-18,44,63,53.5,-
12-Feb-18,47,59,53,-
13-Feb-18,49,63,56,-
14-Feb-18,45,60,52.5,-
15-Feb-18,44,64,54,-
16-Feb-18,42,65,53.5,-
17-Feb-18,45,67,56,-
18-Feb-18,45,58,51.5,0.02
19-Feb-18,43,53,48,-
20-Feb-18,36,53,44.5,-
21-Feb-18,42,56,49,-
22-Feb-18,45,55,50,0.02
23-Feb-18,39,54,46.5,-
24-Feb-18,39,57,48,-
25-Feb-18,40,59,49.5,-
26-Feb-18,45,54,49.5,0.19
27-Feb-18,44,58,51,-
28-Feb-18,41,56,48.5,0.15
1-Mar-18,48,59,53.5,1.05
2-Mar-18,45,56,50.5,0.18
3-Mar-18,42,53,47.5,0.05
4-Mar-18,40,55,47.5,-
5-Mar-18,41,61,51,-
6-Mar-18,45,65,55,-
7-Mar-18,52,70,61,0.01
8-Mar-18,50,65,57.5,0.01
9-Mar-18,49,65,57,-
10-Mar-18,49,57,53,-
11-Mar-18,46,67,56.5,-
12-Mar-18,50,70,60,0.1
13-Mar-18,51,62,56.5,0.27
14-Mar-18,49,59,54,0.08
15-Mar-18,44,59,51.5,0.07
16-Mar-18,47,56,51.5,0.22
17-Mar-18,46,56,51,-
18-Mar-18,41,56,48.5,-
19-Mar-18,44,62,53,-
20-Mar-18,53,58,55.5,0.4
21-Mar-18,55,65,60,0.12
22-Mar-18,49,61,55,0.58
23-Mar-18,46,59,52.5,-
24-Mar-18,48,57,52.5,0.13
25-Mar-18,45,57,51,0.06
26-Mar-18,45,62,53.5,-
27-Mar-18,49,72,60.5,-
28-Mar-18,51,77,64,-
29-Mar-18,52,81,66.5,-
30-Mar-18,55,79,67,-
31-Mar-18,51,64,57.5,-
1-Apr-18,50,67,58.5,-
2-Apr-18,51,63,57,-
3-Apr-18,48,65,56.5,-
4-Apr-18,52,63,57.5,-
5-Apr-18,52,63,57.5,0.11
6-Apr-18,57,64,60.5,1.06
7-Apr-18,53,64,58.5,0.69
8-Apr-18,52,64,58,-
9-Apr-18,50,75,62.5,-
10-Apr-18,53,65,59,-
11-Apr-18,51,65,58,0.22
12-Apr-18,48,63,55.5,-
13-Apr-18,46,66,56,-
14-Apr-18,51,71,61,-
15-Apr-18,50,64,57,0.05
16-Apr-18,48,57,52.5,0.11
17-Apr-18,45,63,54,-
18-Apr-18,51,60,55.5,-
19-Apr-18,48,63,55.5,-
20-Apr-18,49,67,58,-
21-Apr-18,50,75,62.5,-
22-Apr-18,49,76,62.5,-
23-Apr-18,52,74,63,-
24-Apr-18,53,66,59.5,-
25-Apr-18,51,65,58,-
26-Apr-18,52,63,57.5,-
27-Apr-18,54,67,60.5,-
28-Apr-18,55,66,60.5,-
29-Apr-18,54,64,59,-
30-Apr-18,52,63,57.5,-
1-May-18,50,67,58.5,-
2-May-18,52,67,59.5,-
3-May-18,52,66,59,-
4-May-18,52,69,60.5,-
5-May-18,53,61,57,-
6-May-18,53,65,59,-
7-May-18,54,71,62.5,-
8-May-18,54,70,62,-
9-May-18,56,67,61.5,-
10-May-18,52,66,59,-
11-May-18,51,75,63,-
12-May-18,57,76,66.5,-
13-May-18,55,67,61,-
14-May-18,54,65,59.5,-
15-May-18,56,67,61.5,-
16-May-18,54,68,61,-
17-May-18,55,65,60,-
18-May-18,55,64,59.5,-
19-May-18,55,63,59,-
20-May-18,54,62,58,-
21-May-18,52,67,59.5,-
22-May-18,54,61,57.5,-
23-May-18,55,63,59,-
24-May-18,55,64,59.5,-
25-May-18,55,65,60,0.01
26-May-18,55,66,60.5,-
27-May-18,53,74,63.5,-
28-May-18,56,84,70,-
29-May-18,56,71,63.5,-
30-May-18,54,62,58,-
31-May-18,53,64,58.5,-
1-Jun-18,51,75,63,-
2-Jun-18,55,85,70,-
3-Jun-18,56,75,65.5,-
4-Jun-18,56,67,61.5,-
5-Jun-18,54,65,59.5,-
6-Jun-18,54,65,59.5,-
7-Jun-18,55,66,60.5,-
8-Jun-18,52,70,61,-
9-Jun-18,55,67,61,-
10-Jun-18,53,68,60.5,-
11-Jun-18,56,71,63.5,-
12-Jun-18,57,76,66.5,-
13-Jun-18,56,76,66,-
14-Jun-18,57,77,67,-
15-Jun-18,56,66,61,-
16-Jun-18,56,71,63.5,-
17-Jun-18,57,72,64.5,-
18-Jun-18,56,71,63.5,-
19-Jun-18,56,67,61.5,-
20-Jun-18,55,65,60,-
21-Jun-18,54,69,61.5,-
22-Jun-18,56,81,68.5,-
23-Jun-18,59,88,73.5,-
24-Jun-18,59,79,69,-
25-Jun-18,60,79,69.5,-
26-Jun-18,58,73,65.5,-
27-Jun-18,59,72,65.5,-
28-Jun-18,59,71,65,-
29-Jun-18,58,79,68.5,-
30-Jun-18,61,92,76.5,-
1-Jul-18,62,78,70,-
2-Jul-18,62,77,69.5,-
3-Jul-18,62,77,69.5,-
4-Jul-18,62,77,69.5,-
5-Jul-18,60,78,69,-
6-Jul-18,64,95,79.5,-
7-Jul-18,64,86,75,-
8-Jul-18,53,94,73.5,-
9-Jul-18,59,102,80.5,-
10-Jul-18,63,98,80.5,-
11-Jul-18,58,85,71.5,-
12-Jul-18,57,75,66,-
13-Jul-18,58,71,64.5,-
14-Jul-18,55,71,63,-
15-Jul-18,55,69,62,-
16-Jul-18,55,69,62,-
