Daily Observed Min/Max Temperature & Precipitation,,,,
,Phoenix AZ - KPHX,,,
Date,Min,Max,Avg,Precip
31-Dec-14,36,50,43,0.11
1-Jan-15,35,46,40.5,-
2-Jan-15,31,54,42.5,-
3-Jan-15,34,54,44,-
4-Jan-15,35,65,50,-
5-Jan-15,40,74,57,-
6-Jan-15,44,79,61.5,-
7-Jan-15,47,81,64,-
8-Jan-15,54,71,62.5,-
9-Jan-15,51,75,63,-
10-Jan-15,54,65,59.5,-
11-Jan-15,54,72,63,0.01
12-Jan-15,56,67,61.5,0.02
13-Jan-15,51,63,57,0.11
14-Jan-15,46,67,56.5,-
15-Jan-15,47,72,59.5,-
16-Jan-15,49,74,61.5,-
17-Jan-15,47,73,60,-
18-Jan-15,48,75,61.5,-
19-Jan-15,50,75,62.5,-
20-Jan-15,48,75,61.5,-
21-Jan-15,53,74,63.5,-
22-Jan-15,48,65,56.5,-
23-Jan-15,43,64,53.5,-
24-Jan-15,50,77,63.5,-
25-Jan-15,48,78,63,-
26-Jan-15,53,71,62,0.01
27-Jan-15,53,74,63.5,-
28-Jan-15,52,75,63.5,-
29-Jan-15,58,71,64.5,0.23
30-Jan-15,55,60,57.5,0.36
31-Jan-15,53,60,56.5,0.07
1-Feb-15,50,69,59.5,-
2-Feb-15,48,73,60.5,-
3-Feb-15,50,76,63,-
4-Feb-15,52,77,64.5,-
5-Feb-15,52,82,67,-
6-Feb-15,54,84,69,-
7-Feb-15,53,81,67,-
8-Feb-15,55,82,68.5,-
9-Feb-15,55,83,69,-
10-Feb-15,57,83,70,-
11-Feb-15,54,81,67.5,-
12-Feb-15,58,78,68,-
13-Feb-15,55,80,67.5,-
14-Feb-15,54,83,68.5,-
15-Feb-15,63,79,71,-
16-Feb-15,55,79,67,-
17-Feb-15,55,77,66,-
18-Feb-15,50,79,64.5,-
19-Feb-15,52,80,66,-
20-Feb-15,55,79,67,-
21-Feb-15,54,79,66.5,-
22-Feb-15,56,72,64,-
23-Feb-15,59,70,64.5,0.01
24-Feb-15,51,67,59,-
25-Feb-15,47,72,59.5,-
26-Feb-15,51,77,64,-
27-Feb-15,50,78,64,-
28-Feb-15,60,70,65,-
1-Mar-15,61,77,69,-
2-Mar-15,52,66,59,0.23
3-Mar-15,47,65,56,0.07
4-Mar-15,47,70,58.5,-
5-Mar-15,46,75,60.5,-
6-Mar-15,51,83,67,-
7-Mar-15,55,83,69,-
8-Mar-15,55,83,69,-
9-Mar-15,56,84,70,-
10-Mar-15,58,87,72.5,-
11-Mar-15,59,87,73,-
12-Mar-15,68,86,77,-
13-Mar-15,60,88,74,-
14-Mar-15,63,88,75.5,-
15-Mar-15,63,89,76,-
16-Mar-15,65,90,77.5,-
17-Mar-15,64,91,77.5,-
18-Mar-15,62,81,71.5,0.02
19-Mar-15,60,70,65,0.01
20-Mar-15,61,81,71,-
21-Mar-15,60,85,72.5,-
22-Mar-15,60,89,74.5,-
23-Mar-15,61,88,74.5,-
24-Mar-15,59,86,72.5,-
25-Mar-15,62,88,75,-
26-Mar-15,64,89,76.5,-
27-Mar-15,63,95,79,-
28-Mar-15,64,95,79.5,-
29-Mar-15,65,97,81,-
30-Mar-15,70,96,83,-
31-Mar-15,68,95,81.5,-
1-Apr-15,67,91,79,-
2-Apr-15,64,87,75.5,-
3-Apr-15,60,86,73,-
4-Apr-15,62,89,75.5,-
5-Apr-15,61,89,75,-
6-Apr-15,61,86,73.5,-
7-Apr-15,58,84,71,-
8-Apr-15,61,78,69.5,-
9-Apr-15,54,83,68.5,-
10-Apr-15,57,87,72,-
11-Apr-15,60,86,73,-
12-Apr-15,65,86,75.5,-
13-Apr-15,63,90,76.5,-
14-Apr-15,67,94,80.5,-
15-Apr-15,65,84,74.5,-
16-Apr-15,56,75,65.5,-
17-Apr-15,55,82,68.5,-
18-Apr-15,59,90,74.5,-
19-Apr-15,62,92,77,-
20-Apr-15,65,93,79,-
21-Apr-15,65,91,78,-
22-Apr-15,65,89,77,-
23-Apr-15,62,83,72.5,-
24-Apr-15,62,78,70,0.02
25-Apr-15,57,81,69,0.02
26-Apr-15,54,75,64.5,0.14
27-Apr-15,57,87,72,-
28-Apr-15,68,93,80.5,-
29-Apr-15,71,96,83.5,-
30-Apr-15,70,99,84.5,-
1-May-15,70,101,85.5,-
2-May-15,72,98,85,-
3-May-15,75,96,85.5,-
4-May-15,65,85,75,0.07
5-May-15,67,86,76.5,-
6-May-15,69,90,79.5,-
7-May-15,65,86,75.5,-
8-May-15,62,75,68.5,-
9-May-15,57,77,67,-
10-May-15,61,89,75,-
11-May-15,67,96,81.5,-
12-May-15,70,91,80.5,-
13-May-15,69,91,80,-
14-May-15,71,87,79,-
15-May-15,57,76,66.5,0.93
16-May-15,57,75,66,-
17-May-15,64,86,75,-
18-May-15,65,90,77.5,-
19-May-15,65,87,76,-
20-May-15,67,93,80,-
21-May-15,72,91,81.5,-
22-May-15,66,82,74,-
23-May-15,64,83,73.5,-
24-May-15,66,85,75.5,-
25-May-15,67,92,79.5,-
26-May-15,71,96,83.5,-
27-May-15,73,97,85,-
28-May-15,71,98,84.5,-
29-May-15,73,103,88,-
30-May-15,74,105,89.5,-
31-May-15,78,107,92.5,-
1-Jun-15,77,105,91,-
2-Jun-15,76,104,90,-
3-Jun-15,73,102,87.5,-
4-Jun-15,73,97,85,-
5-Jun-15,72,90,81,0.16
6-Jun-15,73,97,85,0.03
7-Jun-15,71,100,85.5,-
8-Jun-15,78,105,91.5,-
9-Jun-15,82,96,89,-
10-Jun-15,80,95,87.5,-
11-Jun-15,82,100,91,-
12-Jun-15,78,104,91,-
13-Jun-15,80,105,92.5,-
14-Jun-15,83,107,95,-
15-Jun-15,86,112,99,-
16-Jun-15,87,110,98.5,-
17-Jun-15,86,114,100,-
18-Jun-15,86,115,100.5,-
19-Jun-15,85,114,99.5,-
20-Jun-15,80,112,96,-
21-Jun-15,88,109,98.5,-
22-Jun-15,85,109,97,-
23-Jun-15,87,111,99,-
24-Jun-15,87,112,99.5,-
25-Jun-15,90,110,100,-
26-Jun-15,89,107,98,-
27-Jun-15,90,108,99,0.01
28-Jun-15,87,110,98.5,-
29-Jun-15,86,110,98,0.05
30-Jun-15,85,107,96,-
1-Jul-15,84,106,95,-
2-Jul-15,88,106,97,-
3-Jul-15,82,100,91,0.08
4-Jul-15,85,106,95.5,-
5-Jul-15,84,102,93,-
6-Jul-15,78,104,91,-
7-Jul-15,85,108,96.5,-
8-Jul-15,87,109,98,-
9-Jul-15,83,102,92.5,-
10-Jul-15,78,104,91,-
11-Jul-15,85,106,95.5,-
12-Jul-15,84,106,95,-
13-Jul-15,89,108,98.5,-
14-Jul-15,88,109,98.5,-
15-Jul-15,87,106,96.5,-
16-Jul-15,87,107,97,-
17-Jul-15,80,104,92,0.15
18-Jul-15,76,100,88,0.18
19-Jul-15,77,97,87,-
20-Jul-15,84,102,93,-
21-Jul-15,85,106,95.5,-
22-Jul-15,86,107,96.5,-
23-Jul-15,84,105,94.5,-
24-Jul-15,87,104,95.5,-
25-Jul-15,88,109,98.5,-
26-Jul-15,86,108,97,-
27-Jul-15,86,106,96,-
28-Jul-15,88,106,97,-
29-Jul-15,87,100,93.5,-
30-Jul-15,85,106,95.5,-
31-Jul-15,78,110,94,0.72
1-Aug-15,80,103,91.5,-
2-Aug-15,86,108,97,-
3-Aug-15,87,110,98.5,-
4-Aug-15,88,111,99.5,-
5-Aug-15,89,112,100.5,-
6-Aug-15,92,106,99,-
7-Aug-15,79,107,93,0.37
8-Aug-15,80,102,91,-
9-Aug-15,86,107,96.5,-
10-Aug-15,87,105,96,-
11-Aug-15,76,97,86.5,0.22
12-Aug-15,80,108,94,-
13-Aug-15,89,114,101.5,-
14-Aug-15,93,117,105,-
15-Aug-15,93,115,104,-
16-Aug-15,93,112,102.5,-
17-Aug-15,91,108,99.5,-
18-Aug-15,88,107,97.5,-
19-Aug-15,86,107,96.5,-
20-Aug-15,88,107,97.5,-
21-Aug-15,89,107,98,-
22-Aug-15,88,105,96.5,-
23-Aug-15,87,107,97,-
24-Aug-15,88,108,98,-
25-Aug-15,84,100,92,0.05
26-Aug-15,84,106,95,-
27-Aug-15,82,108,95,0.15
28-Aug-15,81,109,95,-
29-Aug-15,80,111,95.5,0.13
30-Aug-15,83,108,95.5,-
31-Aug-15,77,106,91.5,0.37
1-Sep-15,79,99,89,-
2-Sep-15,84,101,92.5,-
3-Sep-15,77,100,88.5,0.02
4-Sep-15,76,98,87,-
5-Sep-15,81,95,88,-
6-Sep-15,83,104,93.5,-
7-Sep-15,85,98,91.5,-
8-Sep-15,85,105,95,-
9-Sep-15,84,96,90,-
10-Sep-15,81,93,87,-
11-Sep-15,78,102,90,-
12-Sep-15,83,107,95,-
13-Sep-15,78,103,90.5,0.27
14-Sep-15,76,98,87,0.09
15-Sep-15,79,97,88,-
16-Sep-15,78,98,88,-
17-Sep-15,76,98,87,-
18-Sep-15,77,101,89,-
19-Sep-15,79,103,91,-
20-Sep-15,82,103,92.5,-
21-Sep-15,76,92,84,-
22-Sep-15,74,93,83.5,0.41
23-Sep-15,72,97,84.5,-
24-Sep-15,77,104,90.5,-
25-Sep-15,82,103,92.5,-
26-Sep-15,82,105,93.5,-
27-Sep-15,81,104,92.5,-
28-Sep-15,80,104,92,-
29-Sep-15,79,103,91,-
30-Sep-15,78,106,92,-
1-Oct-15,77,106,91.5,-
2-Oct-15,75,98,86.5,-
3-Oct-15,70,95,82.5,-
4-Oct-15,70,95,82.5,0.02
5-Oct-15,68,89,78.5,0.05
6-Oct-15,65,80,72.5,0.23
7-Oct-15,64,83,73.5,-
8-Oct-15,66,92,79,-
9-Oct-15,74,95,84.5,-
10-Oct-15,73,95,84,-
11-Oct-15,74,98,86,-
12-Oct-15,75,97,86,-
13-Oct-15,75,98,86.5,-
14-Oct-15,76,100,88,-
15-Oct-15,76,96,86,-
16-Oct-15,74,97,85.5,0.02
17-Oct-15,72,89,80.5,0.02
18-Oct-15,71,92,81.5,0.32
19-Oct-15,68,86,77,-
20-Oct-15,67,81,74,-
21-Oct-15,64,77,70.5,-
22-Oct-15,61,79,70,-
23-Oct-15,63,84,73.5,-
24-Oct-15,64,90,77,-
25-Oct-15,69,88,78.5,-
26-Oct-15,67,91,79,-
27-Oct-15,65,89,77,-
28-Oct-15,68,87,77.5,-
29-Oct-15,65,81,73,0.04
30-Oct-15,60,79,69.5,0.04
31-Oct-15,57,83,70,-
1-Nov-15,59,85,72,-
2-Nov-15,61,88,74.5,-
3-Nov-15,63,83,73,-
4-Nov-15,54,69,61.5,0.04
5-Nov-15,50,66,58,-
6-Nov-15,48,74,61,-
7-Nov-15,50,80,65,-
8-Nov-15,56,83,69.5,-
9-Nov-15,56,81,68.5,-
10-Nov-15,55,71,63,-
11-Nov-15,48,69,58.5,-
12-Nov-15,46,77,61.5,-
13-Nov-15,50,80,65,-
14-Nov-15,52,78,65,-
15-Nov-15,57,66,61.5,0.17
16-Nov-15,51,60,55.5,0.04
17-Nov-15,45,63,54,-
18-Nov-15,45,66,55.5,-
19-Nov-15,46,76,61,-
20-Nov-15,50,79,64.5,-
21-Nov-15,50,82,66,-
22-Nov-15,55,80,67.5,-
23-Nov-15,54,81,67.5,-
24-Nov-15,53,79,66,-
25-Nov-15,57,72,64.5,-
26-Nov-15,50,64,57,-
27-Nov-15,42,63,52.5,-
28-Nov-15,42,63,52.5,-
29-Nov-15,41,62,51.5,-
30-Nov-15,39,61,50,-
1-Dec-15,38,65,51.5,-
2-Dec-15,38,71,54.5,-
3-Dec-15,42,77,59.5,-
4-Dec-15,47,73,60,-
5-Dec-15,46,75,60.5,-
6-Dec-15,44,79,61.5,-
7-Dec-15,50,79,64.5,-
8-Dec-15,48,75,61.5,-
9-Dec-15,49,73,61,-
10-Dec-15,50,78,64,-
11-Dec-15,54,67,60.5,0.02
12-Dec-15,46,62,54,0.03
13-Dec-15,40,61,50.5,-
14-Dec-15,43,55,49,0.16
15-Dec-15,37,55,46,-
16-Dec-15,35,56,45.5,-
17-Dec-15,36,58,47,-
18-Dec-15,38,71,54.5,-
19-Dec-15,47,66,56.5,-
20-Dec-15,44,65,54.5,-
21-Dec-15,43,62,52.5,-
22-Dec-15,45,57,51,-
23-Dec-15,53,67,60,-
24-Dec-15,52,67,59.5,-
25-Dec-15,43,61,52,-
26-Dec-15,37,56,46.5,-
27-Dec-15,35,59,47,-
28-Dec-15,38,59,48.5,-
29-Dec-15,42,56,49,-
30-Dec-15,37,60,48.5,-
31-Dec-15,35,62,48.5,-
1-Jan-16,36,67,51.5,-
2-Jan-16,47,70,58.5,-
3-Jan-16,53,72,62.5,-
4-Jan-16,53,62,57.5,0.27
5-Jan-16,52,57,54.5,0.11
6-Jan-16,50,60,55,0.15
7-Jan-16,47,54,50.5,0.6
8-Jan-16,45,56,50.5,-
9-Jan-16,41,59,50,-
10-Jan-16,44,56,50,-
11-Jan-16,40,61,50.5,-
12-Jan-16,38,66,52,-
13-Jan-16,40,66,53,-
14-Jan-16,41,64,52.5,-
15-Jan-16,43,60,51.5,-
16-Jan-16,40,62,51,-
17-Jan-16,44,68,56,-
18-Jan-16,45,68,56.5,-
19-Jan-16,43,69,56,-
20-Jan-16,47,72,59.5,-
21-Jan-16,43,71,57,-
22-Jan-16,45,76,60.5,-
23-Jan-16,51,73,62,-
24-Jan-16,45,67,56,-
25-Jan-16,48,67,57.5,-
26-Jan-16,42,71,56.5,-
27-Jan-16,43,70,56.5,-
28-Jan-16,46,72,59,-
29-Jan-16,45,72,58.5,-
30-Jan-16,47,74,60.5,-
31-Jan-16,49,76,62.5,0.18
1-Feb-16,45,55,50,-
2-Feb-16,37,55,46,-
3-Feb-16,34,57,45.5,-
4-Feb-16,38,64,51,-
5-Feb-16,39,69,54,-
6-Feb-16,43,74,58.5,-
7-Feb-16,47,79,63,-
8-Feb-16,50,85,67.5,-
9-Feb-16,59,86,72.5,-
10-Feb-16,54,86,70,-
11-Feb-16,55,85,70,-
12-Feb-16,55,87,71,-
13-Feb-16,53,87,70,-
14-Feb-16,52,82,67,-
15-Feb-16,52,85,68.5,-
16-Feb-16,55,87,71,-
17-Feb-16,57,90,73.5,-
18-Feb-16,57,82,69.5,-
19-Feb-16,59,81,70,-
20-Feb-16,54,86,70,-
21-Feb-16,54,86,70,-
22-Feb-16,53,85,69,-
23-Feb-16,57,74,65.5,-
24-Feb-16,53,77,65,-
25-Feb-16,52,84,68,-
26-Feb-16,57,88,72.5,-
27-Feb-16,58,87,72.5,-
28-Feb-16,57,86,71.5,-
29-Feb-16,59,88,73.5,-
1-Mar-16,59,89,74,-
2-Mar-16,58,90,74,-
3-Mar-16,59,91,75,-
4-Mar-16,60,88,74,-
5-Mar-16,57,80,68.5,-
6-Mar-16,63,80,71.5,-
7-Mar-16,52,71,61.5,-
8-Mar-16,52,73,62.5,-
9-Mar-16,52,80,66,-
10-Mar-16,54,85,69.5,-
11-Mar-16,58,85,71.5,-
12-Mar-16,53,72,62.5,-
13-Mar-16,52,78,65,-
14-Mar-16,54,79,66.5,-
15-Mar-16,56,85,70.5,-
16-Mar-16,56,87,71.5,-
17-Mar-16,57,88,72.5,-
18-Mar-16,56,89,72.5,-
19-Mar-16,60,90,75,-
20-Mar-16,61,91,76,-
21-Mar-16,63,92,77.5,-
22-Mar-16,64,81,72.5,-
23-Mar-16,59,75,67,-
24-Mar-16,52,80,66,-
25-Mar-16,54,85,69.5,-
26-Mar-16,57,86,71.5,-
27-Mar-16,58,87,72.5,-
28-Mar-16,61,84,72.5,-
29-Mar-16,56,70,63,-
30-Mar-16,52,69,60.5,-
31-Mar-16,50,73,61.5,-
1-Apr-16,52,79,65.5,-
2-Apr-16,57,83,70,-
3-Apr-16,59,89,74,-
4-Apr-16,59,92,75.5,-
5-Apr-16,61,92,76.5,-
6-Apr-16,65,97,81,-
7-Apr-16,67,90,78.5,0.01
8-Apr-16,62,82,72,0.24
9-Apr-16,63,83,73,-
10-Apr-16,56,73,64.5,0.26
11-Apr-16,55,77,66,-
12-Apr-16,59,82,70.5,-
13-Apr-16,62,86,74,-
14-Apr-16,64,89,76.5,-
15-Apr-16,64,83,73.5,-
16-Apr-16,57,81,69,-
17-Apr-16,63,82,72.5,-
18-Apr-16,60,86,73,-
19-Apr-16,63,90,76.5,-
20-Apr-16,64,94,79,-
21-Apr-16,65,97,81,-
22-Apr-16,69,97,83,-
23-Apr-16,68,88,78,-
24-Apr-16,60,88,74,-
25-Apr-16,67,81,74,-
26-Apr-16,57,77,67,-
27-Apr-16,60,83,71.5,-
28-Apr-16,64,76,70,-
29-Apr-16,64,82,73,-
30-Apr-16,62,82,72,-
1-May-16,59,79,69,-
2-May-16,61,88,74.5,-
3-May-16,64,94,79,-
4-May-16,69,102,85.5,-
5-May-16,72,97,84.5,-
6-May-16,62,80,71,-
7-May-16,58,77,67.5,-
8-May-16,61,81,71,0.05
9-May-16,62,86,74,-
10-May-16,67,91,79,-
11-May-16,70,95,82.5,-
12-May-16,70,101,85.5,-
13-May-16,72,102,87,-
14-May-16,75,101,88,-
15-May-16,74,95,84.5,-
16-May-16,70,92,81,-
17-May-16,70,91,80.5,-
18-May-16,71,87,79,-
19-May-16,70,94,82,-
20-May-16,72,99,85.5,-
21-May-16,73,94,83.5,-
22-May-16,68,89,78.5,-
23-May-16,66,89,77.5,-
24-May-16,68,90,79,-
25-May-16,66,91,78.5,-
26-May-16,65,85,75,-
27-May-16,67,93,80,-
28-May-16,69,97,83,-
29-May-16,72,98,85,-
30-May-16,70,95,82.5,-
31-May-16,70,98,84,-
1-Jun-16,78,101,89.5,-
2-Jun-16,77,108,92.5,-
3-Jun-16,79,113,96,-
4-Jun-16,82,115,98.5,-
5-Jun-16,82,113,97.5,-
6-Jun-16,82,111,96.5,-
7-Jun-16,80,107,93.5,-
8-Jun-16,82,108,95,-
9-Jun-16,83,105,94,-
10-Jun-16,83,99,91,-
11-Jun-16,79,104,91.5,-
12-Jun-16,75,103,89,-
13-Jun-16,79,100,89.5,-
14-Jun-16,75,99,87,-
15-Jun-16,74,101,87.5,-
16-Jun-16,76,101,88.5,-
17-Jun-16,76,106,91,-
18-Jun-16,76,111,93.5,-
19-Jun-16,84,118,101,-
20-Jun-16,90,116,103,-
21-Jun-16,89,111,100,-
22-Jun-16,88,112,100,-
23-Jun-16,89,112,100.5,-
24-Jun-16,87,109,98,-
25-Jun-16,85,108,96.5,-
26-Jun-16,90,106,98,-
27-Jun-16,90,110,100,0.01
28-Jun-16,89,113,101,-
29-Jun-16,84,106,95,-
30-Jun-16,81,97,89,-
1-Jul-16,78,98,88,-
2-Jul-16,82,104,93,-
3-Jul-16,86,107,96.5,-
4-Jul-16,87,110,98.5,-
5-Jul-16,86,111,98.5,-
6-Jul-16,85,107,96,-
7-Jul-16,85,106,95.5,-
8-Jul-16,84,109,96.5,-
9-Jul-16,87,111,99,-
10-Jul-16,87,111,99,-
11-Jul-16,86,110,98,-
12-Jul-16,81,110,95.5,-
13-Jul-16,85,109,97,-
14-Jul-16,89,111,100,-
15-Jul-16,88,111,99.5,-
16-Jul-16,90,108,99,-
17-Jul-16,90,105,97.5,-
18-Jul-16,81,106,93.5,0.36
19-Jul-16,84,107,95.5,-
20-Jul-16,85,108,96.5,-
21-Jul-16,88,112,100,-
22-Jul-16,91,112,101.5,-
23-Jul-16,90,111,100.5,-
24-Jul-16,90,107,98.5,-
25-Jul-16,88,107,97.5,-
26-Jul-16,91,111,101,-
27-Jul-16,91,112,101.5,-
28-Jul-16,89,110,99.5,-
29-Jul-16,77,112,94.5,0.53
30-Jul-16,80,101,90.5,-
31-Jul-16,85,102,93.5,-
1-Aug-16,80,100,90,-
2-Aug-16,77,100,88.5,0.15
3-Aug-16,81,98,89.5,-
4-Aug-16,83,100,91.5,-
5-Aug-16,76,98,87,0.52
6-Aug-16,84,106,95,-
7-Aug-16,86,109,97.5,-
8-Aug-16,88,110,99,-
9-Aug-16,77,97,87,0.22
10-Aug-16,82,101,91.5,-
11-Aug-16,78,98,88,0.13
12-Aug-16,82,105,93.5,-
13-Aug-16,84,108,96,-
14-Aug-16,86,106,96,-
15-Aug-16,86,110,98,-
16-Aug-16,87,111,99,-
17-Aug-16,84,109,96.5,0.1
18-Aug-16,82,104,93,0.01
19-Aug-16,79,104,91.5,-
20-Aug-16,80,100,90,-
21-Aug-16,76,101,88.5,-
22-Aug-16,79,100,89.5,-
23-Aug-16,74,96,85,0.1
24-Aug-16,77,103,90,0.04
25-Aug-16,77,103,90,-
26-Aug-16,80,98,89,-
27-Aug-16,80,97,88.5,-
28-Aug-16,77,99,88,-
29-Aug-16,79,105,92,-
30-Aug-16,84,107,95.5,-
31-Aug-16,82,106,94,-
1-Sep-16,87,104,95.5,-
2-Sep-16,84,105,94.5,-
3-Sep-16,83,106,94.5,-
4-Sep-16,76,101,88.5,-
5-Sep-16,75,103,89,-
6-Sep-16,78,101,89.5,-
7-Sep-16,77,88,82.5,0.04
8-Sep-16,74,96,85,-
9-Sep-16,80,103,91.5,-
10-Sep-16,82,104,93,-
11-Sep-16,80,105,92.5,-
12-Sep-16,83,101,92,-
13-Sep-16,78,98,88,-
14-Sep-16,76,98,87,-
15-Sep-16,72,97,84.5,-
16-Sep-16,70,97,83.5,-
17-Sep-16,73,100,86.5,-
18-Sep-16,72,105,88.5,-
19-Sep-16,76,100,88,-
20-Sep-16,81,89,85,-
21-Sep-16,76,100,88,-
22-Sep-16,73,87,80,0.26
23-Sep-16,71,88,79.5,-
24-Sep-16,62,90,76,-
25-Sep-16,67,95,81,-
26-Sep-16,68,91,79.5,-
27-Sep-16,69,88,78.5,-
28-Sep-16,70,96,83,-
29-Sep-16,75,93,84,0.02
30-Sep-16,73,96,84.5,-
1-Oct-16,73,97,85,-
2-Oct-16,70,86,78,0.2
3-Oct-16,67,86,76.5,-
4-Oct-16,59,85,72,-
5-Oct-16,63,90,76.5,-
6-Oct-16,67,90,78.5,-
7-Oct-16,65,97,81,-
8-Oct-16,75,97,86,-
9-Oct-16,75,97,86,-
10-Oct-16,73,96,84.5,-
11-Oct-16,70,97,83.5,-
12-Oct-16,67,92,79.5,-
13-Oct-16,67,95,81,-
14-Oct-16,67,96,81.5,-
15-Oct-16,67,94,80.5,-
16-Oct-16,66,92,79,-
17-Oct-16,66,91,78.5,-
18-Oct-16,66,90,78,-
19-Oct-16,65,93,79,-
20-Oct-16,63,97,80,-
21-Oct-16,73,97,85,-
22-Oct-16,71,97,84,-
23-Oct-16,69,96,82.5,-
24-Oct-16,72,90,81,-
25-Oct-16,69,92,80.5,-
26-Oct-16,69,96,82.5,-
27-Oct-16,70,100,85,-
28-Oct-16,76,93,84.5,-
29-Oct-16,68,96,82,-
30-Oct-16,70,93,81.5,-
31-Oct-16,68,86,77,-
1-Nov-16,66,82,74,-
2-Nov-16,60,83,71.5,-
3-Nov-16,62,84,73,0.35
4-Nov-16,60,79,69.5,-
5-Nov-16,61,82,71.5,-
6-Nov-16,61,84,72.5,-
7-Nov-16,61,86,73.5,-
8-Nov-16,64,90,77,-
9-Nov-16,68,85,76.5,-
10-Nov-16,64,82,73,-
11-Nov-16,62,83,72.5,-
12-Nov-16,62,84,73,-
13-Nov-16,58,85,71.5,-
14-Nov-16,57,87,72,-
15-Nov-16,59,86,72.5,-
16-Nov-16,59,79,69,-
17-Nov-16,56,72,64,-
18-Nov-16,47,77,62,-
19-Nov-16,54,83,68.5,-
20-Nov-16,59,74,66.5,0.02
21-Nov-16,56,71,63.5,0.09
22-Nov-16,51,71,61,-
23-Nov-16,51,74,62.5,-
24-Nov-16,49,77,63,-
25-Nov-16,48,81,64.5,-
26-Nov-16,60,70,65,-
27-Nov-16,49,66,57.5,0.22
28-Nov-16,47,57,52,-
29-Nov-16,44,62,53,-
30-Nov-16,41,62,51.5,-
1-Dec-16,43,62,52.5,-
2-Dec-16,44,61,52.5,-
3-Dec-16,43,70,56.5,-
4-Dec-16,41,70,55.5,-
5-Dec-16,44,69,56.5,-
6-Dec-16,46,65,55.5,-
7-Dec-16,47,67,57,-
8-Dec-16,45,68,56.5,-
9-Dec-16,47,72,59.5,-
10-Dec-16,47,72,59.5,-
11-Dec-16,50,73,61.5,-
12-Dec-16,51,74,62.5,-
13-Dec-16,58,75,66.5,-
14-Dec-16,51,76,63.5,-
15-Dec-16,53,75,64,0.01
16-Dec-16,57,74,65.5,0.09
17-Dec-16,44,67,55.5,-
18-Dec-16,38,62,50,-
19-Dec-16,42,70,56,-
20-Dec-16,50,73,61.5,-
21-Dec-16,59,70,64.5,-
22-Dec-16,56,66,61,0.42
23-Dec-16,53,62,57.5,0.04
24-Dec-16,45,63,54,0.19
25-Dec-16,40,55,47.5,-
26-Dec-16,38,62,50,-
27-Dec-16,42,70,56,-
28-Dec-16,46,64,55,-
29-Dec-16,49,77,63,-
30-Dec-16,51,72,61.5,0.19
31-Dec-16,54,63,58.5,0.01
1-Jan-17,52,57,54.5,0.2
2-Jan-17,48,58,53,-
3-Jan-17,45,61,53,-
4-Jan-17,46,67,56.5,-
5-Jan-17,47,68,57.5,-
6-Jan-17,49,66,57.5,-
7-Jan-17,43,66,54.5,-
8-Jan-17,50,74,62,-
9-Jan-17,52,67,59.5,-
10-Jan-17,49,70,59.5,-
11-Jan-17,50,66,58,-
12-Jan-17,46,69,57.5,-
13-Jan-17,55,66,60.5,-
14-Jan-17,54,65,59.5,0.03
15-Jan-17,50,60,55,-
16-Jan-17,50,64,57,-
17-Jan-17,45,63,54,-
18-Jan-17,45,67,56,-
19-Jan-17,47,57,52,0.01
20-Jan-17,48,53,50.5,0.86
21-Jan-17,46,60,53,-
22-Jan-17,44,61,52.5,-
23-Jan-17,49,63,56,-
24-Jan-17,42,58,50,-
25-Jan-17,38,57,47.5,-
26-Jan-17,37,58,47.5,-
27-Jan-17,37,59,48,-
28-Jan-17,35,64,49.5,-
29-Jan-17,40,72,56,-
30-Jan-17,44,76,60,-
31-Jan-17,47,74,60.5,-
1-Feb-17,46,75,60.5,-
2-Feb-17,49,73,61,-
3-Feb-17,50,72,61,-
4-Feb-17,47,75,61,-
5-Feb-17,46,76,61,-
6-Feb-17,53,67,60,-
7-Feb-17,51,73,62,-
8-Feb-17,52,77,64.5,-
9-Feb-17,54,82,68,-
10-Feb-17,54,83,68.5,-
11-Feb-17,59,79,69,-
12-Feb-17,60,74,67,-
13-Feb-17,59,74,66.5,-
14-Feb-17,57,74,65.5,-
15-Feb-17,59,75,67,-
16-Feb-17,52,75,63.5,-
17-Feb-17,57,75,66,-
18-Feb-17,50,67,58.5,0.62
19-Feb-17,50,60,55,0.22
20-Feb-17,50,69,59.5,-
21-Feb-17,52,76,64,-
22-Feb-17,54,77,65.5,-
23-Feb-17,47,63,55,-
24-Feb-17,43,64,53.5,-
25-Feb-17,42,67,54.5,-
26-Feb-17,52,70,61,-
27-Feb-17,48,65,56.5,0.15
28-Feb-17,52,65,58.5,0.25
1-Mar-17,45,70,57.5,-
2-Mar-17,47,77,62,-
3-Mar-17,53,77,65,-
4-Mar-17,53,79,66,-
5-Mar-17,58,75,66.5,-
6-Mar-17,52,68,60,-
7-Mar-17,47,75,61,-
8-Mar-17,51,83,67,-
9-Mar-17,55,86,70.5,-
10-Mar-17,57,88,72.5,-
11-Mar-17,60,89,74.5,-
12-Mar-17,58,88,73,-
13-Mar-17,61,92,76.5,-
14-Mar-17,63,93,78,-
15-Mar-17,64,91,77.5,-
16-Mar-17,62,93,77.5,-
17-Mar-17,64,93,78.5,-
18-Mar-17,64,95,79.5,-
19-Mar-17,64,96,80,-
20-Mar-17,67,96,81.5,-
21-Mar-17,66,93,79.5,-
22-Mar-17,63,82,72.5,-
23-Mar-17,54,72,63,0.06
24-Mar-17,52,78,65,-
