State,year,week,ILITOTAL
Arizona,2011,43,179
California,2011,43,797
Colorado,2011,43,127
Georgia,2011,43,389
Illinois,2011,43,772
New York,2011,43,59
Pennsylvania,2011,43,186
Texas,2011,43,833
Washington,2011,43,39
Arizona,2011,44,201
California,2011,44,866
Colorado,2011,44,116
Georgia,2011,44,577
Illinois,2011,44,797
New York,2011,44,83
Pennsylvania,2011,44,206
Texas,2011,44,768
Washington,2011,44,55
Arizona,2011,45,198
California,2011,45,784
Colorado,2011,45,108
Georgia,2011,45,623
Illinois,2011,45,742
New York,2011,45,62
Pennsylvania,2011,45,228
Texas,2011,45,876
Washington,2011,45,41
Arizona,2011,46,250
California,2011,46,992
Colorado,2011,46,152
Georgia,2011,46,569
Illinois,2011,46,819
New York,2011,46,63
Pennsylvania,2011,46,201
Texas,2011,46,915
Washington,2011,46,55
Arizona,2011,47,219
California,2011,47,594
Colorado,2011,47,84
Georgia,2011,47,599
Illinois,2011,47,783
New York,2011,47,36
Pennsylvania,2011,47,193
Texas,2011,47,722
Washington,2011,47,39
Arizona,2011,48,242
California,2011,48,511
Colorado,2011,48,141
Georgia,2011,48,520
Illinois,2011,48,772
New York,2011,48,87
Pennsylvania,2011,48,217
Texas,2011,48,802
Washington,2011,48,42
Arizona,2011,49,223
California,2011,49,883
Colorado,2011,49,137
Georgia,2011,49,440
Illinois,2011,49,694
New York,2011,49,101
Pennsylvania,2011,49,180
Texas,2011,49,608
Washington,2011,49,28
Arizona,2011,50,193
California,2011,50,951
Colorado,2011,50,141
Georgia,2011,50,553
Illinois,2011,50,772
New York,2011,50,82
Pennsylvania,2011,50,192
Texas,2011,50,781
Washington,2011,50,47
Arizona,2011,51,192
California,2011,51,843
Colorado,2011,51,125
Georgia,2011,51,778
Illinois,2011,51,840
New York,2011,51,57
Pennsylvania,2011,51,203
Texas,2011,51,779
Washington,2011,51,47
Arizona,2011,52,213
California,2011,52,718
Colorado,2011,52,123
Georgia,2011,52,714
Illinois,2011,52,1020
New York,2011,52,36
Pennsylvania,2011,52,228
Texas,2011,52,713
Washington,2011,52,43
Arizona,2012,1,225
California,2012,1,854
Colorado,2012,1,127
Georgia,2012,1,609
Illinois,2012,1,888
New York,2012,1,72
Pennsylvania,2012,1,183
Texas,2012,1,745
Washington,2012,1,53
Arizona,2012,2,207
California,2012,2,958
Colorado,2012,2,157
Georgia,2012,2,550
Illinois,2012,2,830
New York,2012,2,84
Pennsylvania,2012,2,205
Texas,2012,2,859
Washington,2012,2,44
Arizona,2012,3,212
California,2012,3,855
Colorado,2012,3,160
Georgia,2012,3,622
Illinois,2012,3,867
New York,2012,3,80
Pennsylvania,2012,3,201
Texas,2012,3,923
Washington,2012,3,39
Arizona,2012,4,216
California,2012,4,1224
Colorado,2012,4,231
Georgia,2012,4,642
Illinois,2012,4,948
New York,2012,4,69
Pennsylvania,2012,4,217
Texas,2012,4,899
Washington,2012,4,49
Arizona,2012,5,303
California,2012,5,1359
Colorado,2012,5,213
Georgia,2012,5,768
Illinois,2012,5,1136
New York,2012,5,88
Pennsylvania,2012,5,219
Texas,2012,5,1046
Washington,2012,5,93
Arizona,2012,6,273
California,2012,6,1265
Colorado,2012,6,239
Georgia,2012,6,724
Illinois,2012,6,989
New York,2012,6,72
Pennsylvania,2012,6,236
Texas,2012,6,1124
Washington,2012,6,90
Arizona,2012,7,362
California,2012,7,1278
Colorado,2012,7,243
Georgia,2012,7,740
Illinois,2012,7,1361
New York,2012,7,81
Pennsylvania,2012,7,230
Texas,2012,7,1241
Washington,2012,7,83
Arizona,2012,8,344
California,2012,8,1300
Colorado,2012,8,316
Georgia,2012,8,379
Illinois,2012,8,1557
New York,2012,8,124
Pennsylvania,2012,8,232
Texas,2012,8,1141
Washington,2012,8,92
Arizona,2012,9,354
California,2012,9,1253
Colorado,2012,9,343
Georgia,2012,9,732
Illinois,2012,9,1561
New York,2012,9,109
